Nombre,RUT,Curso,Sección,Asignatura,Profesor,Fecha,Tipo,Nota
Mariana Carmona,10000395-3,5to Básico,A,Ciencias Naturales,Ruben Alvarez,02-03-2025,evaluacion,63
Mariana Quinteros,10000396-1,5to Básico,A,Ciencias Naturales,Ruben Alvarez,02-03-2025,evaluacion,69
Raquel Vera,10000661-8,8vo Básico,A,Lenguaje y Comunicación,Lorena Bravo,02-03-2025,tarea,82
Jose Fernandez,10000702-9,8vo Básico,B,Matemáticas,Lorena Bravo,02-03-2025,evaluacion,78
Jose Rodriguez,10000710-K,8vo Básico,B,Matemáticas,Lorena Bravo,02-03-2025,evaluacion,88
Jose Silva,10000715-0,8vo Básico,B,Matemáticas,Lorena Bravo,02-03-2025,evaluacion,66
Jose Munoz,10000716-9,8vo Básico,B,Matemáticas,Lorena Bravo,02-03-2025,evaluacion,60
Jose Mendez,10000723-1,1ro Medio,A,Matemáticas,Ricardo Donoso,02-03-2025,prueba,55
Jose Ortiz,10000727-4,1ro Medio,A,Matemáticas,Ricardo Donoso,02-03-2025,prueba,58
Jose Salinas,10000731-2,1ro Medio,A,Matemáticas,Ricardo Donoso,02-03-2025,prueba,58
Jose Molina,10000740-1,1ro Medio,A,Matemáticas,Ricardo Donoso,02-03-2025,prueba,82
Sandra Herrera,10000763-0,1ro Medio,A,Matemáticas,Ricardo Donoso,02-03-2025,prueba,72
Sandra Sepulveda,10000797-5,1ro Medio,B,Educación Ciudadana,Pedro Segura,02-03-2025,tarea,84
Sandra Campos,10000799-1,1ro Medio,B,Educación Ciudadana,Pedro Segura,02-03-2025,tarea,63
Marcos Sanchez,10000808-4,1ro Medio,B,Educación Ciudadana,Pedro Segura,02-03-2025,tarea,64
Veronica Carmona,10000995-1,4to Medio,A,Biología,Adriana Velez,02-03-2025,prueba,55
Andres Castro,10001020-8,4to Medio,A,Biología,Adriana Velez,02-03-2025,prueba,57
Andres Soto,10001026-7,4to Medio,A,Biología,Adriana Velez,02-03-2025,prueba,44
Andres Ortiz,10001027-5,4to Medio,A,Biología,Adriana Velez,02-03-2025,prueba,89
Veronica Carmona,10000995-1,4to Medio,A,Lenguaje y Comunicación,Felipe Castro,02-03-2025,evaluacion,93
Andres Castro,10001020-8,4to Medio,A,Lenguaje y Comunicación,Felipe Castro,02-03-2025,evaluacion,98
Andres Soto,10001026-7,4to Medio,A,Lenguaje y Comunicación,Felipe Castro,02-03-2025,evaluacion,75
Andres Ortiz,10001027-5,4to Medio,A,Lenguaje y Comunicación,Felipe Castro,02-03-2025,evaluacion,30
Veronica Carmona,10000995-1,4to Medio,A,Filosofía,Maria Labbe,02-03-2025,prueba,31
Andres Castro,10001020-8,4to Medio,A,Filosofía,Maria Labbe,02-03-2025,prueba,46
Andres Soto,10001026-7,4to Medio,A,Filosofía,Maria Labbe,02-03-2025,prueba,94
Andres Ortiz,10001027-5,4to Medio,A,Filosofía,Maria Labbe,02-03-2025,prueba,64
Sofia Rojas,10000272-8,4to Básico,A,Lenguaje y Comunicación,Javier Ramírez,03-03-2025,evaluacion,96
Sofia Ibarra,10000280-9,4to Básico,A,Lenguaje y Comunicación,Javier Ramírez,03-03-2025,evaluacion,78
Sofia Aguirre,10000291-4,4to Básico,A,Lenguaje y Comunicación,Javier Ramírez,03-03-2025,evaluacion,99
Sofia Leiva,10000292-2,4to Básico,A,Lenguaje y Comunicación,Javier Ramírez,03-03-2025,evaluacion,97
Sofia Sepulveda,10000297-3,4to Básico,A,Lenguaje y Comunicación,Javier Ramírez,03-03-2025,evaluacion,94
Javier Perez,10000303-1,4to Básico,A,Lenguaje y Comunicación,Javier Ramírez,03-03-2025,evaluacion,38
Javier Martinez,10000305-8,4to Básico,A,Lenguaje y Comunicación,Javier Ramírez,03-03-2025,evaluacion,33
Javier Arancibia,10000318-K,4to Básico,B,"Historia, Geografía y Ciencias Sociales",Mariana López,03-03-2025,tarea,79
Javier Serrano,10000344-9,4to Básico,B,"Historia, Geografía y Ciencias Sociales",Mariana López,03-03-2025,tarea,91
Raquel Vera,10000661-8,8vo Básico,A,"Historia, Geografía y Ciencias Sociales",Lorena Bravo,03-03-2025,tarea,85
Jose Fernandez,10000702-9,8vo Básico,B,"Historia, Geografía y Ciencias Sociales",Sergio Vega,03-03-2025,tarea,98
Jose Rodriguez,10000710-K,8vo Básico,B,"Historia, Geografía y Ciencias Sociales",Sergio Vega,03-03-2025,tarea,52
Jose Silva,10000715-0,8vo Básico,B,"Historia, Geografía y Ciencias Sociales",Sergio Vega,03-03-2025,tarea,46
Jose Munoz,10000716-9,8vo Básico,B,"Historia, Geografía y Ciencias Sociales",Sergio Vega,03-03-2025,tarea,36
Jose Mendez,10000723-1,1ro Medio,A,"Historia, Geografía y Ciencias Sociales",Carla Sánchez,03-03-2025,prueba,36
Jose Ortiz,10000727-4,1ro Medio,A,"Historia, Geografía y Ciencias Sociales",Carla Sánchez,03-03-2025,prueba,41
Jose Salinas,10000731-2,1ro Medio,A,"Historia, Geografía y Ciencias Sociales",Carla Sánchez,03-03-2025,prueba,69
Jose Molina,10000740-1,1ro Medio,A,"Historia, Geografía y Ciencias Sociales",Carla Sánchez,03-03-2025,prueba,46
Sandra Herrera,10000763-0,1ro Medio,A,"Historia, Geografía y Ciencias Sociales",Carla Sánchez,03-03-2025,prueba,83
Sandra Sepulveda,10000797-5,1ro Medio,B,Educación Ciudadana,Pedro Segura,03-03-2025,tarea,64
Sandra Campos,10000799-1,1ro Medio,B,Educación Ciudadana,Pedro Segura,03-03-2025,tarea,90
Marcos Sanchez,10000808-4,1ro Medio,B,Educación Ciudadana,Pedro Segura,03-03-2025,tarea,60
Esteban Martinez,10000905-6,3ro Medio,A,Biología,Jose Perez,03-03-2025,prueba,58
Esteban Valenzuela,10000938-2,3ro Medio,A,Biología,Jose Perez,03-03-2025,prueba,97
Esteban Carmona,10000945-5,3ro Medio,B,Biología,Jose Perez,03-03-2025,tarea,100
Veronica Fernandez,10000952-8,3ro Medio,B,Biología,Jose Perez,03-03-2025,tarea,80
Veronica Diaz,10000957-9,3ro Medio,B,Biología,Jose Perez,03-03-2025,tarea,93
Veronica Rodriguez,10000960-9,3ro Medio,B,Biología,Jose Perez,03-03-2025,tarea,98
Veronica Arancibia,10000968-4,3ro Medio,B,Biología,Jose Perez,03-03-2025,tarea,90
Ana Perez,10000003-2,1ro Básico,A,"Historia, Geografía y Ciencias Sociales",Pedro González,04-03-2025,prueba,83
Ana Perez,10000003-2,1ro Básico,A,"Historia, Geografía y Ciencias Sociales",Pedro González,04-03-2025,tarea,88
Ana Silva,10000015-6,1ro Básico,A,"Historia, Geografía y Ciencias Sociales",Pedro González,04-03-2025,prueba,43
Ana Silva,10000015-6,1ro Básico,A,"Historia, Geografía y Ciencias Sociales",Pedro González,04-03-2025,tarea,45
Ana Palma,10000021-0,1ro Básico,A,"Historia, Geografía y Ciencias Sociales",Pedro González,04-03-2025,prueba,100
Ana Palma,10000021-0,1ro Básico,A,"Historia, Geografía y Ciencias Sociales",Pedro González,04-03-2025,tarea,92
Ana Cubillos,10000033-4,1ro Básico,A,"Historia, Geografía y Ciencias Sociales",Pedro González,04-03-2025,prueba,36
Ana Cubillos,10000033-4,1ro Básico,A,"Historia, Geografía y Ciencias Sociales",Pedro González,04-03-2025,tarea,43
Ana Vargas,10000036-9,1ro Básico,A,"Historia, Geografía y Ciencias Sociales",Pedro González,04-03-2025,prueba,73
Ana Vargas,10000036-9,1ro Básico,A,"Historia, Geografía y Ciencias Sociales",Pedro González,04-03-2025,tarea,66
Ana Benitez,10000048-2,1ro Básico,B,Ciencias Naturales,Pedro González,04-03-2025,prueba,39
Ana Campos,10000049-0,1ro Básico,B,Ciencias Naturales,Pedro González,04-03-2025,prueba,81
Pedro Vera,10000061-K,1ro Básico,B,Ciencias Naturales,Pedro González,04-03-2025,prueba,77
Pedro Alvarez,10000069-5,1ro Básico,B,Ciencias Naturales,Pedro González,04-03-2025,prueba,86
Sofia Rojas,10000272-8,4to Básico,A,Lenguaje y Comunicación,Javier Ramírez,04-03-2025,tarea,96
Sofia Ibarra,10000280-9,4to Básico,A,Lenguaje y Comunicación,Javier Ramírez,04-03-2025,tarea,72
Sofia Aguirre,10000291-4,4to Básico,A,Lenguaje y Comunicación,Javier Ramírez,04-03-2025,tarea,93
Sofia Leiva,10000292-2,4to Básico,A,Lenguaje y Comunicación,Javier Ramírez,04-03-2025,tarea,94
Sofia Sepulveda,10000297-3,4to Básico,A,Lenguaje y Comunicación,Javier Ramírez,04-03-2025,tarea,97
Javier Perez,10000303-1,4to Básico,A,Lenguaje y Comunicación,Javier Ramírez,04-03-2025,tarea,51
Javier Martinez,10000305-8,4to Básico,A,Lenguaje y Comunicación,Javier Ramírez,04-03-2025,tarea,39
Raquel Vera,10000661-8,8vo Básico,A,Ciencias Naturales,Lorena Bravo,04-03-2025,tarea,87
Jose Mendez,10000723-1,1ro Medio,A,Matemáticas,Ricardo Donoso,04-03-2025,tarea,53
Jose Ortiz,10000727-4,1ro Medio,A,Matemáticas,Ricardo Donoso,04-03-2025,tarea,50
Jose Salinas,10000731-2,1ro Medio,A,Matemáticas,Ricardo Donoso,04-03-2025,tarea,54
Jose Molina,10000740-1,1ro Medio,A,Matemáticas,Ricardo Donoso,04-03-2025,tarea,64
Sandra Herrera,10000763-0,1ro Medio,A,Matemáticas,Ricardo Donoso,04-03-2025,tarea,86
Marcos Herrera,10000813-0,2do Medio,A,Química,Juan Lopez,04-03-2025,evaluacion,42
Marcos Navarro,10000814-9,2do Medio,A,Química,Juan Lopez,04-03-2025,evaluacion,69
Marcos Cortes,10000829-7,2do Medio,A,Química,Juan Lopez,04-03-2025,evaluacion,99
Marcos Nunez,10000832-7,2do Medio,A,Química,Juan Lopez,04-03-2025,evaluacion,36
Marcos Cruz,10000837-8,2do Medio,A,Química,Juan Lopez,04-03-2025,evaluacion,33
Marcos Tapia,10000843-2,2do Medio,A,Química,Juan Lopez,04-03-2025,evaluacion,83
Marcos Serrano,10000844-0,2do Medio,A,Química,Juan Lopez,04-03-2025,evaluacion,41
Patricia Lopez,10000850-5,2do Medio,A,Química,Juan Lopez,04-03-2025,evaluacion,54
Patricia Gomez,10000854-8,2do Medio,A,Química,Juan Lopez,04-03-2025,evaluacion,81
Esteban Martinez,10000905-6,3ro Medio,A,Física,Jose Perez,04-03-2025,tarea,86
Esteban Valenzuela,10000938-2,3ro Medio,A,Física,Jose Perez,04-03-2025,tarea,95
Esteban Carmona,10000945-5,3ro Medio,B,Matemáticas,Sandra Gomez,04-03-2025,tarea,73
Veronica Fernandez,10000952-8,3ro Medio,B,Matemáticas,Sandra Gomez,04-03-2025,tarea,65
Veronica Diaz,10000957-9,3ro Medio,B,Matemáticas,Sandra Gomez,04-03-2025,tarea,98
Veronica Rodriguez,10000960-9,3ro Medio,B,Matemáticas,Sandra Gomez,04-03-2025,tarea,94
Veronica Arancibia,10000968-4,3ro Medio,B,Matemáticas,Sandra Gomez,04-03-2025,tarea,35
Esteban Carmona,10000945-5,3ro Medio,B,Educación Ciudadana,Marcos Seguel,04-03-2025,tarea,69
Veronica Fernandez,10000952-8,3ro Medio,B,Educación Ciudadana,Marcos Seguel,04-03-2025,tarea,99
Veronica Diaz,10000957-9,3ro Medio,B,Educación Ciudadana,Marcos Seguel,04-03-2025,tarea,71
Veronica Rodriguez,10000960-9,3ro Medio,B,Educación Ciudadana,Marcos Seguel,04-03-2025,tarea,68
Veronica Arancibia,10000968-4,3ro Medio,B,Educación Ciudadana,Marcos Seguel,04-03-2025,tarea,36
Veronica Carmona,10000995-1,4to Medio,A,Lenguaje y Comunicación,Felipe Castro,04-03-2025,prueba,95
Andres Castro,10001020-8,4to Medio,A,Lenguaje y Comunicación,Felipe Castro,04-03-2025,prueba,99
Andres Soto,10001026-7,4to Medio,A,Lenguaje y Comunicación,Felipe Castro,04-03-2025,prueba,68
Andres Ortiz,10001027-5,4to Medio,A,Lenguaje y Comunicación,Felipe Castro,04-03-2025,prueba,59
Veronica Carmona,10000995-1,4to Medio,A,Filosofía,Maria Labbe,04-03-2025,evaluacion,40
Andres Castro,10001020-8,4to Medio,A,Filosofía,Maria Labbe,04-03-2025,evaluacion,59
Andres Soto,10001026-7,4to Medio,A,Filosofía,Maria Labbe,04-03-2025,evaluacion,96
Andres Ortiz,10001027-5,4to Medio,A,Filosofía,Maria Labbe,04-03-2025,evaluacion,75
Catalina Gomez,10001054-2,4to Medio,B,Biología,Adriana Velez,04-03-2025,evaluacion,49
Catalina Cortes,10001079-8,4to Medio,B,Biología,Adriana Velez,04-03-2025,evaluacion,100
Catalina Gomez,10001054-2,4to Medio,B,Matemáticas,Maria Labbe,04-03-2025,tarea,76
Catalina Cortes,10001079-8,4to Medio,B,Matemáticas,Maria Labbe,04-03-2025,tarea,95
Carlos Diaz,10000157-8,2do Básico,B,Lenguaje y Comunicación,Lucía Fernández,05-03-2025,evaluacion,35
Carlos Tapia,10000193-4,3ro Básico,A,Lenguaje y Comunicación,Martín Gómez,05-03-2025,prueba,78
Martin Perez,10000203-5,3ro Básico,A,Lenguaje y Comunicación,Martín Gómez,05-03-2025,prueba,96
Martin Diaz,10000207-8,3ro Básico,A,Lenguaje y Comunicación,Martín Gómez,05-03-2025,prueba,96
Martin Rodriguez,10000210-8,3ro Básico,A,Lenguaje y Comunicación,Martín Gómez,05-03-2025,prueba,98
Mariana Vera,10000361-9,5to Básico,A,"Historia, Geografía y Ciencias Sociales",Ruben Alvarez,05-03-2025,tarea,67
Mariana Herrera,10000363-5,5to Básico,A,"Historia, Geografía y Ciencias Sociales",Ruben Alvarez,05-03-2025,tarea,96
Mariana Vargas,10000386-4,5to Básico,A,"Historia, Geografía y Ciencias Sociales",Ruben Alvarez,05-03-2025,tarea,40
Mariana Cruz,10000387-2,5to Básico,A,"Historia, Geografía y Ciencias Sociales",Ruben Alvarez,05-03-2025,tarea,100
Mariana Carmona,10000395-3,5to Básico,A,"Historia, Geografía y Ciencias Sociales",Ruben Alvarez,05-03-2025,tarea,96
Mariana Quinteros,10000396-1,5to Básico,A,"Historia, Geografía y Ciencias Sociales",Ruben Alvarez,05-03-2025,tarea,73
Carla Ramirez,10000456-9,6to Básico,A,Ciencias Naturales,Roberto Palma,05-03-2025,evaluacion,81
Carla Herrera,10000463-1,6to Básico,A,Ciencias Naturales,Roberto Palma,05-03-2025,evaluacion,50
Carla Fuentes,10000467-4,6to Básico,A,Ciencias Naturales,Roberto Palma,05-03-2025,evaluacion,94
Carla Alvarez,10000469-0,6to Básico,A,Ciencias Naturales,Roberto Palma,05-03-2025,evaluacion,100
Carla Palma,10000471-2,6to Básico,A,Ciencias Naturales,Roberto Palma,05-03-2025,evaluacion,80
Carla Rojas,10000472-0,6to Básico,A,Ciencias Naturales,Roberto Palma,05-03-2025,evaluacion,73
Carla Soto,10000476-3,6to Básico,A,Ciencias Naturales,Roberto Palma,05-03-2025,evaluacion,49
Carla Vargas,10000486-0,6to Básico,A,Ciencias Naturales,Roberto Palma,05-03-2025,evaluacion,45
Carla Aguirre,10000491-7,6to Básico,A,Ciencias Naturales,Roberto Palma,05-03-2025,evaluacion,65
Carla Serrano,10000494-1,6to Básico,A,Ciencias Naturales,Roberto Palma,05-03-2025,evaluacion,62
Raquel Vera,10000661-8,8vo Básico,A,Matemáticas,Gustavo Farias,05-03-2025,prueba,89
Jose Mendez,10000723-1,1ro Medio,A,Matemáticas,Ricardo Donoso,05-03-2025,evaluacion,35
Jose Ortiz,10000727-4,1ro Medio,A,Matemáticas,Ricardo Donoso,05-03-2025,evaluacion,58
Jose Salinas,10000731-2,1ro Medio,A,Matemáticas,Ricardo Donoso,05-03-2025,evaluacion,57
Jose Molina,10000740-1,1ro Medio,A,Matemáticas,Ricardo Donoso,05-03-2025,evaluacion,65
Sandra Herrera,10000763-0,1ro Medio,A,Matemáticas,Ricardo Donoso,05-03-2025,evaluacion,81
Sandra Sepulveda,10000797-5,1ro Medio,B,Lenguaje y Comunicación,Ricardo Donoso,05-03-2025,prueba,72
Sandra Campos,10000799-1,1ro Medio,B,Lenguaje y Comunicación,Ricardo Donoso,05-03-2025,prueba,91
Marcos Sanchez,10000808-4,1ro Medio,B,Lenguaje y Comunicación,Ricardo Donoso,05-03-2025,prueba,96
Esteban Carmona,10000945-5,3ro Medio,B,Matemáticas,Sandra Gomez,05-03-2025,evaluacion,76
Veronica Fernandez,10000952-8,3ro Medio,B,Matemáticas,Sandra Gomez,05-03-2025,evaluacion,83
Veronica Diaz,10000957-9,3ro Medio,B,Matemáticas,Sandra Gomez,05-03-2025,evaluacion,94
Veronica Rodriguez,10000960-9,3ro Medio,B,Matemáticas,Sandra Gomez,05-03-2025,evaluacion,100
Veronica Arancibia,10000968-4,3ro Medio,B,Matemáticas,Sandra Gomez,05-03-2025,evaluacion,50
Veronica Carmona,10000995-1,4to Medio,A,Biología,Adriana Velez,05-03-2025,prueba,37
Andres Castro,10001020-8,4to Medio,A,Biología,Adriana Velez,05-03-2025,prueba,39
Andres Soto,10001026-7,4to Medio,A,Biología,Adriana Velez,05-03-2025,prueba,34
Andres Ortiz,10001027-5,4to Medio,A,Biología,Adriana Velez,05-03-2025,prueba,60
Ana Benitez,10000048-2,1ro Básico,B,Ciencias Naturales,Pedro González,06-03-2025,evaluacion,39
Ana Campos,10000049-0,1ro Básico,B,Ciencias Naturales,Pedro González,06-03-2025,evaluacion,67
Pedro Vera,10000061-K,1ro Básico,B,Ciencias Naturales,Pedro González,06-03-2025,evaluacion,62
Pedro Alvarez,10000069-5,1ro Básico,B,Ciencias Naturales,Pedro González,06-03-2025,evaluacion,77
Carlos Tapia,10000193-4,3ro Básico,A,Matemáticas,Martín Gómez,06-03-2025,evaluacion,75
Martin Perez,10000203-5,3ro Básico,A,Matemáticas,Martín Gómez,06-03-2025,evaluacion,33
Martin Diaz,10000207-8,3ro Básico,A,Matemáticas,Martín Gómez,06-03-2025,evaluacion,99
Martin Rodriguez,10000210-8,3ro Básico,A,Matemáticas,Martín Gómez,06-03-2025,evaluacion,96
Miguel Morales,10000509-3,6to Básico,B,"Historia, Geografía y Ciencias Sociales",Claudia Rojas,06-03-2025,tarea,56
Miguel Arancibia,10000518-2,6to Básico,B,"Historia, Geografía y Ciencias Sociales",Claudia Rojas,06-03-2025,tarea,65
Miguel Ibarra,10000530-1,6to Básico,B,"Historia, Geografía y Ciencias Sociales",Claudia Rojas,06-03-2025,tarea,93
Miguel Nunez,10000532-8,6to Básico,B,"Historia, Geografía y Ciencias Sociales",Claudia Rojas,06-03-2025,tarea,62
Miguel Cruz,10000537-9,6to Básico,B,"Historia, Geografía y Ciencias Sociales",Claudia Rojas,06-03-2025,tarea,96
Miguel Valenzuela,10000538-7,6to Básico,B,"Historia, Geografía y Ciencias Sociales",Claudia Rojas,06-03-2025,tarea,67
Teresa Cruz,10000587-5,7mo Básico,B,Lenguaje y Comunicación,Felipe Mendez,06-03-2025,prueba,66
Teresa Valenzuela,10000588-3,7mo Básico,B,Lenguaje y Comunicación,Felipe Mendez,06-03-2025,prueba,92
Teresa Quinteros,10000596-4,7mo Básico,B,Lenguaje y Comunicación,Felipe Mendez,06-03-2025,prueba,60
Teresa Campos,10000599-9,7mo Básico,B,Lenguaje y Comunicación,Felipe Mendez,06-03-2025,prueba,66
Juan Martinez,10000605-7,7mo Básico,B,Lenguaje y Comunicación,Felipe Mendez,06-03-2025,prueba,95
Juan Morales,10000609-K,7mo Básico,B,Lenguaje y Comunicación,Felipe Mendez,06-03-2025,prueba,60
Juan Rodriguez,10000610-3,7mo Básico,B,Lenguaje y Comunicación,Felipe Mendez,06-03-2025,prueba,94
Juan Arancibia,10000618-9,7mo Básico,B,Lenguaje y Comunicación,Felipe Mendez,06-03-2025,prueba,90
Juan Castro,10000620-0,7mo Básico,B,Lenguaje y Comunicación,Felipe Mendez,06-03-2025,prueba,62
Juan Bravo,10000624-3,7mo Básico,B,Lenguaje y Comunicación,Felipe Mendez,06-03-2025,prueba,96
Jose Mendez,10000723-1,1ro Medio,A,Filosofía,Pedro Segura,06-03-2025,tarea,52
Jose Ortiz,10000727-4,1ro Medio,A,Filosofía,Pedro Segura,06-03-2025,tarea,98
Jose Salinas,10000731-2,1ro Medio,A,Filosofía,Pedro Segura,06-03-2025,tarea,35
Jose Molina,10000740-1,1ro Medio,A,Filosofía,Pedro Segura,06-03-2025,tarea,94
Sandra Herrera,10000763-0,1ro Medio,A,Filosofía,Pedro Segura,06-03-2025,tarea,64
Patricia Diaz,10000857-2,2do Medio,B,Química,Juan Lopez,06-03-2025,tarea,95
Patricia Rojas,10000872-6,2do Medio,B,Química,Juan Lopez,06-03-2025,tarea,55
Patricia Salinas,10000881-5,2do Medio,B,Química,Juan Lopez,06-03-2025,tarea,35
Patricia Valenzuela,10000888-2,2do Medio,B,Química,Juan Lopez,06-03-2025,tarea,41
Patricia Sepulveda,10000897-1,2do Medio,B,Química,Juan Lopez,06-03-2025,tarea,91
Patricia Benitez,10000898-K,2do Medio,B,Química,Juan Lopez,06-03-2025,tarea,34
Patricia Diaz,10000857-2,2do Medio,B,"Historia, Geografía y Ciencias Sociales",Juan Lopez,06-03-2025,prueba,97
Patricia Rojas,10000872-6,2do Medio,B,"Historia, Geografía y Ciencias Sociales",Juan Lopez,06-03-2025,prueba,94
Patricia Salinas,10000881-5,2do Medio,B,"Historia, Geografía y Ciencias Sociales",Juan Lopez,06-03-2025,prueba,98
Patricia Valenzuela,10000888-2,2do Medio,B,"Historia, Geografía y Ciencias Sociales",Juan Lopez,06-03-2025,prueba,79
Patricia Sepulveda,10000897-1,2do Medio,B,"Historia, Geografía y Ciencias Sociales",Juan Lopez,06-03-2025,prueba,71
Patricia Benitez,10000898-K,2do Medio,B,"Historia, Geografía y Ciencias Sociales",Juan Lopez,06-03-2025,prueba,70
Esteban Martinez,10000905-6,3ro Medio,A,Filosofía,Marcos Seguel,06-03-2025,prueba,67
Esteban Valenzuela,10000938-2,3ro Medio,A,Filosofía,Marcos Seguel,06-03-2025,prueba,97
Esteban Carmona,10000945-5,3ro Medio,B,Biología,Jose Perez,06-03-2025,evaluacion,91
Veronica Fernandez,10000952-8,3ro Medio,B,Biología,Jose Perez,06-03-2025,evaluacion,60
