nombre,rut,curso,seccion,asignatura,profesor,fecha,tipo,nota,tema
Amanda Díaz Cortés,10000145-4,2do Básico,B,Matemáticas,Ana González Muñoz,2025-04-22,evaluacion,4.2,Matemáticas
Gabriela Muñoz Alarcón,10000089-k,1ro Básico,B,Educación Física,Sebastián Silva Morales,2025-03-26,evaluacion,5.2,Educación Física
Emilia Rojas Gutiérrez,10000098-9,2do Básico,A,Artes Visuales,Manuel Romero Cortés,2025-03-16,prueba,4.6,Artes Visuales
Trinidad Rojas Sepúlveda,10000108-k,2do Básico,A,Música,Vicente Tapia Iglesias,2025-07-31,tarea,6.2,Música
Ángel Díaz Vega,10000172-1,2do Básico,B,Matemáticas,Ana González Muñoz,2025-04-19,0318518519,4.0,Matemáticas
Francisca González Espinoza,10000036-9,1ro Básico,A,Orientación,Cristóbal Cortés Sandoval,2025-03-25,evaluacion,5.7,Orientación
Gabriel González Contreras,10000017-2,1ro Básico,A,Educación Física,Francisco Vargas Jiménez,2025-09-23,evaluacion,4.3,Educación Física
Cristóbal Díaz Alarcón,10000164-0,2do Básico,B,Ciencias Naturales,Valentina Torres Díaz,2025-05-27,tarea,6.1,Ciencias Naturales
Victoria Rojas Gutiérrez,10000128-4,2do Básico,A,Tecnología,Gabriel Vergara Pacheco,2025-07-03,prueba,5.8,Tecnología
Roberto Rojas Campos,10000133-0,2do Básico,A,Música,Francisca Medina Aros,2025-11-14,prueba,5.2,Música
Santiago Díaz Campos,10000148-9,2do Básico,B,Inglés,Maximiliano Espinoza Molina,2025-04-13,tarea,6.9,Inglés
Sofía González González,10000000-8,1ro Básico,A,Orientación,Andrés Poblete Oyarzún,2025-05-29,tarea,6.5,Orientación
Joaquín González Espinoza,10000021-0,1ro Básico,A,Inglés,Joaquín Araya Peña,2025-05-29,tarea,5.2,Inglés
Gabriel Díaz Contreras,10000152-7,2do Básico,B,Tecnología,Gabriel Vergara Pacheco,2025-05-31,tarea,4.2,Tecnología
Constanza González Vega,10000022-9,1ro Básico,A,Educación Física,Antonia Castro Campos,2025-05-13,tarea,4.3,Educación Física
Martina Rojas López,10000094-6,2do Básico,A,Tecnología,Trinidad Santana Ibarra,2025-03-21,prueba,6.9,Tecnología
Trinidad Díaz Sepúlveda,10000153-5,2do Básico,B,Inglés,Maximiliano Espinoza Molina,2025-12-03,prueba,4.8,Inglés
Vicente Díaz Jara,10000162-4,2do Básico,B,Educación Física,Sebastián Silva Morales,2025-03-30,tarea,4.5,Educación Física
Manuel Díaz Sepúlveda,10000168-3,2do Básico,B,Inglés,Renata Contreras Vera,2025-06-26,prueba,4.8,Inglés
Catalina Díaz Jara,10000147-0,2do Básico,B,Orientación,Constanza Riquelme Carvajal,2025-08-11,evaluacion,5.3,Orientación
Gabriel Muñoz Contreras,10000062-8,1ro Básico,B,Música,Nicolás Valenzuela Cruz,2025-07-04,tarea,6.9,Música
Emilia Rojas Gutiérrez,10000098-9,2do Básico,A,Educación Física,Sebastián Silva Morales,2025-10-01,tarea,4.8,Educación Física
Joaquín Díaz Espinoza,10000156-k,2do Básico,B,Tecnología,Gabriel Vergara Pacheco,2025-03-16,evaluacion,4.3,Tecnología
Ignacia Díaz Contreras,10000167-5,2do Básico,B,Educación Física,Sebastián Silva Morales,2025-09-10,tarea,5.4,Educación Física
Benjamín González Sepúlveda,10000003-2,1ro Básico,A,Matemáticas,María López García,2025-05-20,tarea,4.5,Matemáticas
Emilia González Gutiérrez,10000008-3,1ro Básico,A,Inglés,Renata Contreras Vera,2025-08-20,evaluacion,4.8,Inglés
Lucas Díaz Torres,10000140-3,2do Básico,B,Música,Vicente Tapia Iglesias,2025-09-07,tarea,4.5,Música
Valentina González Contreras,10000002-4,1ro Básico,A,Educación Física,Antonia Castro Campos,2025-05-04,evaluacion,6.9,Educación Física
Andrés González Díaz,10000031-8,1ro Básico,A,Artes Visuales,Josefa Ruiz Sepúlveda,2025-06-06,tarea,6.0,Artes Visuales
Diego González Figueroa,10000011-3,1ro Básico,A,Matemáticas,Pedro Rodríguez Silva,2025-07-26,evaluacion,4.5,Matemáticas
Tomás González Ramírez,10000009-1,1ro Básico,A,Artes Visuales,Manuel Romero Cortés,2025-07-10,prueba,4.0,Artes Visuales
Manuel González Sepúlveda,10000033-4,1ro Básico,A,Educación Física,Francisco Vargas Jiménez,2025-09-18,evaluacion,5.1,Educación Física
Santiago Muñoz Campos,10000058-k,1ro Básico,B,Tecnología,Trinidad Santana Ibarra,2025-05-01,prueba,6.5,Tecnología
Javiera Rojas Campos,10000118-7,2do Básico,A,Educación Física,Sebastián Silva Morales,2025-04-10,prueba,6.8,Educación Física
Alberto González Figueroa,10000041-5,1ro Básico,A,Lenguaje y Comunicación,Sofía Martínez Vega,2025-07-01,tarea,6.2,Lenguaje y Comunicación
Sofía González González,10000000-8,1ro Básico,A,Orientación,Cristóbal Cortés Sandoval,2025-05-07,evaluacion,6.3,Orientación
Fernanda González Figueroa,10000026-1,1ro Básico,A,Tecnología,Gabriel Vergara Pacheco,2025-03-17,prueba,4.3,Tecnología
Eduardo Díaz Ramírez,10000174-8,2do Básico,B,Artes Visuales,Isidora Flores Paredes,2025-05-29,tarea,5.3,Artes Visuales
Josefa Muñoz Alarcón,10000059-8,1ro Básico,B,Tecnología,Gabriel Vergara Pacheco,2025-05-08,tarea,6.0,Tecnología
Agustín Muñoz Vega,10000052-0,1ro Básico,B,Tecnología,Samuel Jara Bustos,2025-08-04,tarea,4.8,Tecnología
Vicente González Jara,10000027-k,1ro Básico,A,Matemáticas,Pedro Rodríguez Silva,2025-06-28,evaluacion,4.2,Matemáticas
Joaquín Muñoz Espinoza,10000066-0,1ro Básico,B,Ciencias Naturales,Diego Morales Soto,2025-11-08,tarea,6.3,Ciencias Naturales
Gabriel Díaz Contreras,10000152-7,2do Básico,B,Matemáticas,María López García,2025-07-20,prueba,5.7,Matemáticas
María José Rojas Ramírez,10000114-4,2do Básico,A,Orientación,Constanza Riquelme Carvajal,2025-07-25,prueba,6.2,Orientación
Isidora Rojas Espinoza,10000096-2,2do Básico,A,Educación Física,Sebastián Silva Morales,2025-07-24,evaluacion,6.9,Educación Física
Amanda Díaz Cortés,10000145-4,2do Básico,B,Música,Francisca Medina Aros,2025-09-05,prueba,6.0,Música
Carolina Díaz Cortés,10000175-6,2do Básico,B,Música,Francisca Medina Aros,2025-12-03,prueba,6.2,Música
María José Muñoz Ramírez,10000069-5,1ro Básico,B,Tecnología,Trinidad Santana Ibarra,2025-08-19,evaluacion,5.5,Tecnología
Josefa Rojas Alarcón,10000104-7,2do Básico,A,Inglés,Joaquín Araya Peña,2025-09-29,prueba,4.3,Inglés
Felipe González Gutiérrez,10000023-7,1ro Básico,A,Educación Física,Sebastián Silva Morales,2025-12-24,prueba,6.8,Educación Física
Felipe Díaz Gutiérrez,10000158-6,2do Básico,B,Orientación,Constanza Riquelme Carvajal,2025-05-06,tarea,5.1,Orientación
Fernanda Muñoz Figueroa,10000071-7,1ro Básico,B,Educación Física,Sebastián Silva Morales,2025-10-21,tarea,6.0,Educación Física
Felipe Díaz Gutiérrez,10000158-6,2do Básico,B,Ciencias Naturales,Diego Morales Soto,2025-05-30,evaluacion,5.0,Ciencias Naturales
Martina Muñoz López,10000049-0,1ro Básico,B,Matemáticas,Ana González Muñoz,2025-04-12,prueba,4.5,Matemáticas
María José González Ramírez,10000024-5,1ro Básico,A,Música,Vicente Tapia Iglesias,2025-10-21,tarea,6.5,Música
Josefa Rojas Alarcón,10000104-7,2do Básico,A,Artes Visuales,Isidora Flores Paredes,2025-04-19,evaluacion,5.6,Artes Visuales
Carolina Díaz Cortés,10000175-6,2do Básico,B,Tecnología,Trinidad Santana Ibarra,2025-08-05,evaluacion,4.3,Tecnología
Javiera Muñoz Campos,10000073-3,1ro Básico,B,Orientación,Constanza Riquelme Carvajal,2025-11-21,tarea,4.2,Orientación
Josefa González Alarcón,10000014-8,1ro Básico,A,Inglés,Renata Contreras Vera,2025-09-19,evaluacion,5.6,Inglés
Cristóbal Muñoz Alarcón,10000074-1,1ro Básico,B,Lenguaje y Comunicación,Sofía Martínez Vega,2025-06-25,prueba,6.8,Lenguaje y Comunicación
Catalina Rojas Jara,10000102-0,2do Básico,A,Orientación,Cristóbal Cortés Sandoval,2025-07-01,tarea,6.9,Orientación
Renata Muñoz López,10000079-2,1ro Básico,B,Tecnología,Gabriel Vergara Pacheco,2025-06-04,evaluacion,4.8,Tecnología
Daniela Díaz Jara,10000177-2,2do Básico,B,Educación Física,Antonia Castro Campos,2025-04-04,evaluacion,4.9,Educación Física
Josefa Díaz Alarcón,10000149-7,2do Básico,B,Lenguaje y Comunicación,Carmen López Valenzuela,2025-09-24,tarea,6.0,Lenguaje y Comunicación
Catalina Díaz Jara,10000147-0,2do Básico,B,Inglés,Joaquín Araya Peña,2025-04-09,tarea,6.0,Inglés
María José Díaz Ramírez,10000159-4,2do Básico,B,Educación Física,Antonia Castro Campos,2025-03-06,evaluacion,5.5,Educación Física
Sofía Rojas González,10000090-3,2do Básico,A,Orientación,Cristóbal Cortés Sandoval,2025-07-23,evaluacion,6.7,Orientación
Vicente González Jara,10000027-k,1ro Básico,A,Artes Visuales,Josefa Ruiz Sepúlveda,2025-12-29,evaluacion,6.0,Artes Visuales
Matías Muñoz Díaz,10000046-6,1ro Básico,B,Ciencias Naturales,Valentina Torres Díaz,2025-07-22,tarea,4.9,Ciencias Naturales
Eduardo González Ramírez,10000039-3,1ro Básico,A,Tecnología,Gabriel Vergara Pacheco,2025-07-07,prueba,6.1,Tecnología
Sebastián Muñoz Cortés,10000070-9,1ro Básico,B,Tecnología,Gabriel Vergara Pacheco,2025-04-17,evaluacion,4.6,Tecnología
Lucas González Torres,10000005-9,1ro Básico,A,Inglés,Joaquín Araya Peña,2025-10-04,evaluacion,4.5,Inglés
Nicolás Muñoz González,10000060-1,1ro Básico,B,Música,Vicente Tapia Iglesias,2025-12-21,tarea,6.0,Música
Renata Muñoz López,10000079-2,1ro Básico,B,Tecnología,Trinidad Santana Ibarra,2025-04-07,tarea,4.4,Tecnología
Andrés Rojas Díaz,10000121-7,2do Básico,A,Orientación,Constanza Riquelme Carvajal,2025-07-12,evaluacion,4.4,Orientación
Nicolás González González,10000015-6,1ro Básico,A,Música,Nicolás Valenzuela Cruz,2025-03-29,evaluacion,6.0,Música
Sofía Rojas González,10000090-3,2do Básico,A,Ciencias Naturales,Catalina Reyes Guzmán,2025-06-29,evaluacion,6.8,Ciencias Naturales
Mateo Muñoz Torres,10000080-6,1ro Básico,B,Matemáticas,María López García,2025-07-26,evaluacion,6.3,Matemáticas
Emilia Rojas Gutiérrez,10000098-9,2do Básico,A,Música,Francisca Medina Aros,2025-07-10,evaluacion,5.2,Música
Constanza Díaz Vega,10000157-8,2do Básico,B,Educación Física,Sebastián Silva Morales,2025-04-07,tarea,6.5,Educación Física
Sebastián Rojas Cortés,10000115-2,2do Básico,A,Ciencias Naturales,Catalina Reyes Guzmán,2025-03-30,tarea,4.4,Ciencias Naturales
Fernanda González Figueroa,10000026-1,1ro Básico,A,Matemáticas,María López García,2025-06-10,prueba,4.5,Matemáticas
Florencia Muñoz Díaz,10000061-k,1ro Básico,B,Música,Vicente Tapia Iglesias,2025-07-20,evaluacion,5.7,Música
Vicente Muñoz Jara,10000072-5,1ro Básico,B,Tecnología,Gabriel Vergara Pacheco,2025-08-27,tarea,4.2,Tecnología
Benjamín Rojas Sepúlveda,10000093-8,2do Básico,A,Educación Física,Sebastián Silva Morales,2025-12-20,prueba,4.1,Educación Física
Sebastián Muñoz Cortés,10000070-9,1ro Básico,B,Tecnología,Gabriel Vergara Pacheco,2025-11-27,tarea,5.9,Tecnología
Antonia Rojas Torres,10000110-1,2do Básico,A,Lenguaje y Comunicación,Carmen López Valenzuela,2025-12-18,evaluacion,4.8,Lenguaje y Comunicación
Javiera Rojas Campos,10000118-7,2do Básico,A,Lenguaje y Comunicación,Sofía Martínez Vega,2025-09-11,tarea,4.0,Lenguaje y Comunicación
Ángel Rojas Vega,10000127-6,2do Básico,A,Artes Visuales,Josefa Ruiz Sepúlveda,2025-10-02,evaluacion,6.3,Artes Visuales
Constanza Muñoz Vega,10000067-9,1ro Básico,B,Matemáticas,María López García,2025-07-16,prueba,6.3,Matemáticas
Gabriela González Alarcón,10000044-k,1ro Básico,A,Lenguaje y Comunicación,Juan García Torres,2025-09-06,evaluacion,4.2,Lenguaje y Comunicación
Valentina Rojas Contreras,10000092-k,2do Básico,A,Matemáticas,María López García,2025-11-01,evaluacion,4.8,Matemáticas
Ángel González Vega,10000037-7,1ro Básico,A,Inglés,Joaquín Araya Peña,2025-06-19,prueba,6.3,Inglés
Santiago Muñoz Campos,10000058-k,1ro Básico,B,Artes Visuales,Isidora Flores Paredes,2025-12-25,tarea,6.8,Artes Visuales
Sebastián Muñoz Cortés,10000070-9,1ro Básico,B,Educación Física,Sebastián Silva Morales,2025-05-28,tarea,6.4,Educación Física
Antonia Rojas Torres,10000110-1,2do Básico,A,Orientación,Constanza Riquelme Carvajal,2025-07-03,tarea,5.3,Orientación
Roberto González Campos,10000043-1,1ro Básico,A,Lenguaje y Comunicación,Juan García Torres,2025-10-02,prueba,5.1,Lenguaje y Comunicación
Felipe Rojas Gutiérrez,10000113-6,2do Básico,A,Artes Visuales,Manuel Romero Cortés,2025-05-08,tarea,5.6,Artes Visuales
Trinidad Muñoz Sepúlveda,10000063-6,1ro Básico,B,Ciencias Naturales,Valentina Torres Díaz,2025-04-21,prueba,4.8,Ciencias Naturales
Matías Muñoz Díaz,10000046-6,1ro Básico,B,Matemáticas,Pedro Rodríguez Silva,2025-09-01,tarea,6.9,Matemáticas
Lucas Muñoz Torres,10000050-4,1ro Básico,B,Inglés,Maximiliano Espinoza Molina,2025-05-02,tarea,6.7,Inglés
Roberto Muñoz Campos,10000088-1,1ro Básico,B,Música,Vicente Tapia Iglesias,2025-04-04,tarea,4.2,Música
Antonia Díaz Torres,10000155-1,2do Básico,B,Lenguaje y Comunicación,Carmen López Valenzuela,2025-09-19,tarea,4.2,Lenguaje y Comunicación
Maximiliano Díaz López,10000154-3,2do Básico,B,Música,Francisca Medina Aros,2025-04-04,tarea,6.5,Música
Carolina Díaz Cortés,10000175-6,2do Básico,B,Tecnología,Samuel Jara Bustos,2025-05-04,evaluacion,5.7,Tecnología
Emilia González Gutiérrez,10000008-3,1ro Básico,A,Matemáticas,María López García,2025-10-12,prueba,4.1,Matemáticas
Manuel Rojas Sepúlveda,10000123-3,2do Básico,A,Lenguaje y Comunicación,Juan García Torres,2025-06-13,evaluacion,4.2,Lenguaje y Comunicación
Florencia Díaz Díaz,10000151-9,2do Básico,B,Inglés,Maximiliano Espinoza Molina,2025-04-12,tarea,5.3,Inglés
Matías González Díaz,10000001-6,1ro Básico,A,Ciencias Naturales,Catalina Reyes Guzmán,2025-05-11,evaluacion,6.8,Ciencias Naturales
Agustín Rojas Vega,10000097-0,2do Básico,A,Matemáticas,María López García,2025-05-03,evaluacion,5.9,Matemáticas
Vicente Díaz Jara,10000162-4,2do Básico,B,Ciencias Naturales,Valentina Torres Díaz,2025-07-30,evaluacion,6.5,Ciencias Naturales
Ángel Rojas Vega,10000127-6,2do Básico,A,Artes Visuales,Isidora Flores Paredes,2025-05-29,evaluacion,5.7,Artes Visuales
Felipe Rojas Gutiérrez,10000113-6,2do Básico,A,Ciencias Naturales,Catalina Reyes Guzmán,2025-10-10,tarea,5.0,Ciencias Naturales
Emilia Muñoz Gutiérrez,10000053-9,1ro Básico,B,Lenguaje y Comunicación,Sofía Martínez Vega,2025-07-24,prueba,6.0,Lenguaje y Comunicación
Lucas Muñoz Torres,10000050-4,1ro Básico,B,Ciencias Naturales,Diego Morales Soto,2025-12-26,tarea,6.8,Ciencias Naturales
Isidora Díaz Espinoza,10000141-1,2do Básico,B,Tecnología,Samuel Jara Bustos,2025-03-27,prueba,5.2,Tecnología
Amanda Rojas Cortés,10000100-4,2do Básico,A,Lenguaje y Comunicación,Carmen López Valenzuela,2025-06-05,prueba,5.9,Lenguaje y Comunicación
Martina Rojas López,10000094-6,2do Básico,A,Matemáticas,María López García,2025-04-21,tarea,4.2,Matemáticas
Valentina Rojas Contreras,10000092-k,2do Básico,A,Orientación,Andrés Poblete Oyarzún,2025-12-03,evaluacion,4.0,Orientación
Eduardo González Ramírez,10000039-3,1ro Básico,A,Artes Visuales,Isidora Flores Paredes,2025-12-19,prueba,5.5,Artes Visuales
Sofía González González,10000000-8,1ro Básico,A,Tecnología,Gabriel Vergara Pacheco,2025-06-10,tarea,4.5,Tecnología
Santiago Muñoz Campos,10000058-k,1ro Básico,B,Ciencias Naturales,Diego Morales Soto,2025-07-12,prueba,4.9,Ciencias Naturales
Ángel González Vega,10000037-7,1ro Básico,A,Lenguaje y Comunicación,Carmen López Valenzuela,2025-04-22,tarea,6.8,Lenguaje y Comunicación
Martina Rojas López,10000094-6,2do Básico,A,Artes Visuales,Josefa Ruiz Sepúlveda,2025-03-11,tarea,6.9,Artes Visuales
Amanda Díaz Cortés,10000145-4,2do Básico,B,Artes Visuales,Isidora Flores Paredes,2025-03-28,tarea,6.3,Artes Visuales
Felipe Rojas Gutiérrez,10000113-6,2do Básico,A,Música,Vicente Tapia Iglesias,2025-08-15,tarea,4.0,Música
Nicolás Rojas González,10000105-5,2do Básico,A,Tecnología,Samuel Jara Bustos,2025-08-14,tarea,6.0,Tecnología
Isidora Díaz Espinoza,10000141-1,2do Básico,B,Matemáticas,Pedro Rodríguez Silva,2025-05-24,evaluacion,5.7,Matemáticas
Felipe González Gutiérrez,10000023-7,1ro Básico,A,Música,Nicolás Valenzuela Cruz,2025-07-06,prueba,5.1,Música
Maximiliano Muñoz López,10000064-4,1ro Básico,B,Orientación,Cristóbal Cortés Sandoval,2025-04-10,tarea,5.5,Orientación
Lucas González Torres,10000005-9,1ro Básico,A,Lenguaje y Comunicación,Carmen López Valenzuela,2025-08-20,prueba,5.0,Lenguaje y Comunicación
Ángel González Vega,10000037-7,1ro Básico,A,Educación Física,Sebastián Silva Morales,2025-10-30,tarea,5.3,Educación Física
Nicolás González González,10000015-6,1ro Básico,A,Artes Visuales,Manuel Romero Cortés,2025-05-04,evaluacion,5.4,Artes Visuales
Antonia Díaz Torres,10000155-1,2do Básico,B,Música,Francisca Medina Aros,2025-04-10,evaluacion,4.7,Música
Josefa Díaz Alarcón,10000149-7,2do Básico,B,Artes Visuales,Josefa Ruiz Sepúlveda,2025-09-16,tarea,6.6,Artes Visuales
Vicente González Jara,10000027-k,1ro Básico,A,Inglés,Joaquín Araya Peña,2025-04-20,evaluacion,6.5,Inglés
Agustín Rojas Vega,10000097-0,2do Básico,A,Matemáticas,Ana González Muñoz,2025-06-21,evaluacion,5.1,Matemáticas
Valentina Muñoz Contreras,10000047-4,1ro Básico,B,Educación Física,Francisco Vargas Jiménez,2025-03-07,evaluacion,6.8,Educación Física
Maite Díaz González,10000165-9,2do Básico,B,Ciencias Naturales,Diego Morales Soto,2025-12-07,evaluacion,6.8,Ciencias Naturales
Santiago Muñoz Campos,10000058-k,1ro Básico,B,Tecnología,Trinidad Santana Ibarra,2025-05-06,tarea,4.1,Tecnología
Sofía Rojas González,10000090-3,2do Básico,A,Inglés,Renata Contreras Vera,2025-05-21,tarea,4.4,Inglés
Florencia Muñoz Díaz,10000061-k,1ro Básico,B,Educación Física,Antonia Castro Campos,2025-11-28,evaluacion,6.8,Educación Física
Roberto González Campos,10000043-1,1ro Básico,A,Artes Visuales,Josefa Ruiz Sepúlveda,2025-04-22,prueba,5.2,Artes Visuales
Martina Díaz López,10000139-k,2do Básico,B,Educación Física,Sebastián Silva Morales,2025-10-27,evaluacion,6.4,Educación Física
Valentina Díaz Contreras,10000137-3,2do Básico,B,Música,Francisca Medina Aros,2025-05-23,prueba,6.3,Música
Cristóbal González Alarcón,10000029-6,1ro Básico,A,Educación Física,Francisco Vargas Jiménez,2025-05-28,evaluacion,6.0,Educación Física
Eduardo Muñoz Ramírez,10000084-9,1ro Básico,B,Ciencias Naturales,Diego Morales Soto,2025-04-26,evaluacion,4.6,Ciencias Naturales
Andrés Rojas Díaz,10000121-7,2do Básico,A,Música,Francisca Medina Aros,2025-05-27,evaluacion,5.9,Música
Valentina Rojas Contreras,10000092-k,2do Básico,A,Ciencias Naturales,Diego Morales Soto,2025-05-26,tarea,4.5,Ciencias Naturales
Benjamín González Sepúlveda,10000003-2,1ro Básico,A,Ciencias Naturales,Diego Morales Soto,2025-03-04,evaluacion,5.2,Ciencias Naturales
Diego Díaz Figueroa,10000146-2,2do Básico,B,Música,Vicente Tapia Iglesias,2025-04-18,evaluacion,4.0,Música
Isidora Muñoz Espinoza,10000051-2,1ro Básico,B,Educación Física,Sebastián Silva Morales,2025-12-30,tarea,4.5,Educación Física
Renata Muñoz López,10000079-2,1ro Básico,B,Artes Visuales,Isidora Flores Paredes,2025-03-20,tarea,5.9,Artes Visuales
Andrés González Díaz,10000031-8,1ro Básico,A,Inglés,Renata Contreras Vera,2025-08-06,evaluacion,6.8,Inglés
Alberto González Figueroa,10000041-5,1ro Básico,A,Tecnología,Samuel Jara Bustos,2025-06-03,tarea,5.2,Tecnología
Cristóbal Muñoz Alarcón,10000074-1,1ro Básico,B,Ciencias Naturales,Catalina Reyes Guzmán,2025-04-24,evaluacion,4.1,Ciencias Naturales
Matías Rojas Díaz,10000091-1,2do Básico,A,Música,Vicente Tapia Iglesias,2025-07-27,prueba,5.7,Música
Isidora Muñoz Espinoza,10000051-2,1ro Básico,B,Matemáticas,Pedro Rodríguez Silva,2025-12-10,tarea,5.8,Matemáticas
Matías Díaz Díaz,10000136-5,2do Básico,B,Tecnología,Trinidad Santana Ibarra,2025-11-11,tarea,6.1,Tecnología
Santiago Díaz Campos,10000148-9,2do Básico,B,Música,Nicolás Valenzuela Cruz,2025-04-19,evaluacion,4.1,Música
Felipe González Gutiérrez,10000023-7,1ro Básico,A,Ciencias Naturales,Diego Morales Soto,2025-10-12,tarea,5.2,Ciencias Naturales
Diego Rojas Figueroa,10000101-2,2do Básico,A,Educación Física,Francisco Vargas Jiménez,2025-10-20,tarea,5.0,Educación Física
Gabriela Rojas Alarcón,10000134-9,2do Básico,A,Matemáticas,María López García,2025-11-23,tarea,5.6,Matemáticas
Felipe Rojas Gutiérrez,10000113-6,2do Básico,A,Artes Visuales,Manuel Romero Cortés,2025-11-13,prueba,4.1,Artes Visuales
Martina Rojas López,10000094-6,2do Básico,A,Inglés,Renata Contreras Vera,2025-05-05,evaluacion,4.4,Inglés
Nicolás Díaz González,10000150-0,2do Básico,B,Ciencias Naturales,Catalina Reyes Guzmán,2025-03-18,evaluacion,5.3,Ciencias Naturales
Martina Díaz López,10000139-k,2do Básico,B,Artes Visuales,Manuel Romero Cortés,2025-04-03,tarea,4.2,Artes Visuales
Valentina Díaz Contreras,10000137-3,2do Básico,B,Matemáticas,María López García,2025-08-18,evaluacion,4.2,Matemáticas
Andrés Rojas Díaz,10000121-7,2do Básico,A,Tecnología,Trinidad Santana Ibarra,2025-03-22,evaluacion,5.1,Tecnología
Renata González López,10000034-2,1ro Básico,A,Artes Visuales,Manuel Romero Cortés,2025-11-05,evaluacion,4.8,Artes Visuales
Cristóbal Muñoz Alarcón,10000074-1,1ro Básico,B,Artes Visuales,Manuel Romero Cortés,2025-03-29,tarea,5.0,Artes Visuales
Francisca Díaz Espinoza,10000171-3,2do Básico,B,Artes Visuales,Josefa Ruiz Sepúlveda,2025-04-14,evaluacion,6.7,Artes Visuales
Tomás Rojas Ramírez,10000099-7,2do Básico,A,Inglés,Maximiliano Espinoza Molina,2025-08-25,evaluacion,5.5,Inglés
Constanza Díaz Vega,10000157-8,2do Básico,B,Ciencias Naturales,Valentina Torres Díaz,2025-07-28,evaluacion,6.0,Ciencias Naturales
Catalina Díaz Jara,10000147-0,2do Básico,B,Inglés,Renata Contreras Vera,2025-08-12,evaluacion,6.5,Inglés
Renata Díaz López,10000169-1,2do Básico,B,Orientación,Cristóbal Cortés Sandoval,2025-06-06,evaluacion,5.6,Orientación
Valentina González Contreras,10000002-4,1ro Básico,A,Tecnología,Gabriel Vergara Pacheco,2025-05-21,tarea,5.8,Tecnología
Josefa Díaz Alarcón,10000149-7,2do Básico,B,Inglés,Renata Contreras Vera,2025-10-13,prueba,5.1,Inglés
Maite Muñoz González,10000075-k,1ro Básico,B,Ciencias Naturales,Diego Morales Soto,2025-07-04,evaluacion,4.7,Ciencias Naturales
Diego Rojas Figueroa,10000101-2,2do Básico,A,Matemáticas,Ana González Muñoz,2025-12-30,prueba,6.0,Matemáticas
Trinidad Rojas Sepúlveda,10000108-k,2do Básico,A,Matemáticas,Pedro Rodríguez Silva,2025-07-19,evaluacion,4.0,Matemáticas
Fernanda Díaz Figueroa,10000161-6,2do Básico,B,Ciencias Naturales,Catalina Reyes Guzmán,2025-04-28,tarea,4.5,Ciencias Naturales
