nombre,rut,curso,seccion,fecha,estado
Sofía González González,10000000-8,1ro Básico,A,2025-05-20,ausente
Sofía González González,10000000-8,1ro Básico,A,2025-05-22,presente
Sofía González González,10000000-8,1ro Básico,A,2025-05-23,presente
Sofía González González,10000000-8,1ro Básico,A,2025-05-26,presente
Sofía González González,10000000-8,1ro Básico,A,2025-05-27,tardanza
Sofía González González,10000000-8,1ro Básico,A,2025-05-28,presente
Sofía González González,10000000-8,1ro Básico,A,2025-05-29,presente
Sofía González González,10000000-8,1ro Básico,A,2025-05-30,presente
Sofía González González,10000000-8,1ro Básico,A,2025-06-02,tardanza
Sofía González González,10000000-8,1ro Básico,A,2025-06-03,presente
Sofía González González,10000000-8,1ro Básico,A,2025-06-04,ausente
Sofía González González,10000000-8,1ro Básico,A,2025-06-05,presente
Sofía González González,10000000-8,1ro Básico,A,2025-06-06,presente
Sofía González González,10000000-8,1ro Básico,A,2025-06-09,presente
Sofía González González,10000000-8,1ro Básico,A,2025-06-10,presente
Sofía González González,10000000-8,1ro Básico,A,2025-06-11,presente
Sofía González González,10000000-8,1ro Básico,A,2025-06-12,ausente
Sofía González González,10000000-8,1ro Básico,A,2025-06-13,presente
Sofía González González,10000000-8,1ro Básico,A,2025-06-16,presente
Sofía González González,10000000-8,1ro Básico,A,2025-06-17,presente
Sofía González González,10000000-8,1ro Básico,A,2025-06-18,presente
Sofía González González,10000000-8,1ro Básico,A,2025-06-19,ausente
Sofía González González,10000000-8,1ro Básico,A,2025-06-23,presente
Sofía González González,10000000-8,1ro Básico,A,2025-06-24,presente
Sofía González González,10000000-8,1ro Básico,A,2025-06-25,presente
Sofía González González,10000000-8,1ro Básico,A,2025-06-26,presente
Sofía González González,10000000-8,1ro Básico,A,2025-06-27,presente
Sofía González González,10000000-8,1ro Básico,A,2025-06-30,presente
Sofía González González,10000000-8,1ro Básico,A,2025-07-01,presente
Sofía González González,10000000-8,1ro Básico,A,2025-07-02,presente
Sofía González González,10000000-8,1ro Básico,A,2025-07-03,presente
Sofía González González,10000000-8,1ro Básico,A,2025-07-04,presente
Sofía González González,10000000-8,1ro Básico,A,2025-07-21,presente
Sofía González González,10000000-8,1ro Básico,A,2025-07-22,presente
Sofía González González,10000000-8,1ro Básico,A,2025-07-23,presente
Sofía González González,10000000-8,1ro Básico,A,2025-07-24,presente
Sofía González González,10000000-8,1ro Básico,A,2025-07-25,presente
Sofía González González,10000000-8,1ro Básico,A,2025-07-28,presente
Sofía González González,10000000-8,1ro Básico,A,2025-07-29,presente
Sofía González González,10000000-8,1ro Básico,A,2025-07-30,presente
Sofía González González,10000000-8,1ro Básico,A,2025-07-31,presente
Sofía González González,10000000-8,1ro Básico,A,2025-08-01,presente
Sofía González González,10000000-8,1ro Básico,A,2025-08-04,presente
Sofía González González,10000000-8,1ro Básico,A,2025-08-05,presente
Sofía González González,10000000-8,1ro Básico,A,2025-08-06,presente
Sofía González González,10000000-8,1ro Básico,A,2025-08-07,presente
Sofía González González,10000000-8,1ro Básico,A,2025-08-08,presente
Sofía González González,10000000-8,1ro Básico,A,2025-08-11,presente
Sofía González González,10000000-8,1ro Básico,A,2025-08-12,presente
Sofía González González,10000000-8,1ro Básico,A,2025-08-13,presente
Sofía González González,10000000-8,1ro Básico,A,2025-08-14,presente
Sofía González González,10000000-8,1ro Básico,A,2025-08-18,presente
Sofía González González,10000000-8,1ro Básico,A,2025-08-19,presente
Sofía González González,10000000-8,1ro Básico,A,2025-08-20,presente
Sofía González González,10000000-8,1ro Básico,A,2025-08-21,ausente
Sofía González González,10000000-8,1ro Básico,A,2025-08-22,presente
Sofía González González,10000000-8,1ro Básico,A,2025-08-25,presente
Sofía González González,10000000-8,1ro Básico,A,2025-08-26,presente
Sofía González González,10000000-8,1ro Básico,A,2025-08-27,presente
Sofía González González,10000000-8,1ro Básico,A,2025-08-28,presente
Sofía González González,10000000-8,1ro Básico,A,2025-08-29,tardanza
Sofía González González,10000000-8,1ro Básico,A,2025-09-01,presente
Sofía González González,10000000-8,1ro Básico,A,2025-09-02,presente
Sofía González González,10000000-8,1ro Básico,A,2025-09-03,ausente
Sofía González González,10000000-8,1ro Básico,A,2025-09-04,ausente
Sofía González González,10000000-8,1ro Básico,A,2025-09-05,presente
Sofía González González,10000000-8,1ro Básico,A,2025-09-08,presente
Sofía González González,10000000-8,1ro Básico,A,2025-09-09,tardanza
Sofía González González,10000000-8,1ro Básico,A,2025-09-10,presente
Sofía González González,10000000-8,1ro Básico,A,2025-09-11,presente
Sofía González González,10000000-8,1ro Básico,A,2025-09-12,tardanza
Sofía González González,10000000-8,1ro Básico,A,2025-09-15,presente
Sofía González González,10000000-8,1ro Básico,A,2025-09-16,presente
Sofía González González,10000000-8,1ro Básico,A,2025-09-17,presente
Sofía González González,10000000-8,1ro Básico,A,2025-09-22,presente
Sofía González González,10000000-8,1ro Básico,A,2025-09-23,presente
Sofía González González,10000000-8,1ro Básico,A,2025-09-24,presente
Sofía González González,10000000-8,1ro Básico,A,2025-09-25,presente
Sofía González González,10000000-8,1ro Básico,A,2025-09-26,presente
Sofía González González,10000000-8,1ro Básico,A,2025-09-29,presente
Sofía González González,10000000-8,1ro Básico,A,2025-09-30,presente
Sofía González González,10000000-8,1ro Básico,A,2025-10-01,presente
Sofía González González,10000000-8,1ro Básico,A,2025-10-02,presente
Sofía González González,10000000-8,1ro Básico,A,2025-10-03,presente
Sofía González González,10000000-8,1ro Básico,A,2025-10-06,presente
Sofía González González,10000000-8,1ro Básico,A,2025-10-07,presente
Sofía González González,10000000-8,1ro Básico,A,2025-10-08,presente
Sofía González González,10000000-8,1ro Básico,A,2025-10-09,presente
Sofía González González,10000000-8,1ro Básico,A,2025-10-10,presente
Sofía González González,10000000-8,1ro Básico,A,2025-10-13,presente
Sofía González González,10000000-8,1ro Básico,A,2025-10-14,presente
Sofía González González,10000000-8,1ro Básico,A,2025-10-15,presente
Sofía González González,10000000-8,1ro Básico,A,2025-10-16,presente
Sofía González González,10000000-8,1ro Básico,A,2025-10-17,presente
Sofía González González,10000000-8,1ro Básico,A,2025-10-20,presente
Sofía González González,10000000-8,1ro Básico,A,2025-10-21,presente
Sofía González González,10000000-8,1ro Básico,A,2025-10-22,presente
Sofía González González,10000000-8,1ro Básico,A,2025-10-23,presente
Sofía González González,10000000-8,1ro Básico,A,2025-10-24,presente
Sofía González González,10000000-8,1ro Básico,A,2025-10-27,presente
Sofía González González,10000000-8,1ro Básico,A,2025-10-28,presente
Sofía González González,10000000-8,1ro Básico,A,2025-10-29,ausente
Sofía González González,10000000-8,1ro Básico,A,2025-10-30,justificado
Sofía González González,10000000-8,1ro Básico,A,2025-11-03,presente
Sofía González González,10000000-8,1ro Básico,A,2025-11-04,ausente
Sofía González González,10000000-8,1ro Básico,A,2025-11-05,presente
Sofía González González,10000000-8,1ro Básico,A,2025-11-06,presente
Sofía González González,10000000-8,1ro Básico,A,2025-11-07,presente
Sofía González González,10000000-8,1ro Básico,A,2025-11-10,presente
Sofía González González,10000000-8,1ro Básico,A,2025-11-11,presente
Sofía González González,10000000-8,1ro Básico,A,2025-11-12,tardanza
Sofía González González,10000000-8,1ro Básico,A,2025-11-13,tardanza
Sofía González González,10000000-8,1ro Básico,A,2025-11-14,presente
Sofía González González,10000000-8,1ro Básico,A,2025-11-17,presente
Sofía González González,10000000-8,1ro Básico,A,2025-11-18,presente
Sofía González González,10000000-8,1ro Básico,A,2025-11-19,presente
Sofía González González,10000000-8,1ro Básico,A,2025-11-20,tardanza
Sofía González González,10000000-8,1ro Básico,A,2025-11-21,presente
Sofía González González,10000000-8,1ro Básico,A,2025-11-24,presente
Sofía González González,10000000-8,1ro Básico,A,2025-11-25,presente
Sofía González González,10000000-8,1ro Básico,A,2025-11-26,presente
Sofía González González,10000000-8,1ro Básico,A,2025-11-27,justificado
Sofía González González,10000000-8,1ro Básico,A,2025-11-28,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-03-03,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-03-04,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-03-05,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-03-06,ausente
Matías González Díaz,10000001-6,1ro Básico,A,2025-03-07,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-03-10,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-03-11,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-03-12,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-03-13,ausente
Matías González Díaz,10000001-6,1ro Básico,A,2025-03-14,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-03-17,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-03-18,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-03-19,ausente
Matías González Díaz,10000001-6,1ro Básico,A,2025-03-20,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-03-21,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-03-24,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-03-25,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-03-26,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-03-27,ausente
Matías González Díaz,10000001-6,1ro Básico,A,2025-03-28,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-04-01,ausente
Matías González Díaz,10000001-6,1ro Básico,A,2025-04-02,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-04-03,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-04-04,ausente
Matías González Díaz,10000001-6,1ro Básico,A,2025-04-07,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-04-08,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-04-09,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-04-10,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-04-11,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-04-14,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-04-15,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-04-16,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-04-17,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-04-21,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-04-22,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-04-23,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-04-24,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-04-25,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-04-28,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-04-29,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-04-30,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-05-02,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-05-05,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-05-06,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-05-07,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-05-08,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-05-09,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-05-12,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-05-13,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-05-14,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-05-15,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-05-16,justificado
Matías González Díaz,10000001-6,1ro Básico,A,2025-05-19,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-05-20,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-05-22,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-05-23,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-05-26,ausente
Matías González Díaz,10000001-6,1ro Básico,A,2025-05-27,ausente
Matías González Díaz,10000001-6,1ro Básico,A,2025-05-28,tardanza
Matías González Díaz,10000001-6,1ro Básico,A,2025-05-29,ausente
Matías González Díaz,10000001-6,1ro Básico,A,2025-05-30,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-06-02,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-06-03,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-06-04,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-06-05,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-06-06,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-06-09,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-06-10,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-06-11,ausente
Matías González Díaz,10000001-6,1ro Básico,A,2025-06-12,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-06-13,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-06-16,ausente
Matías González Díaz,10000001-6,1ro Básico,A,2025-06-17,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-06-18,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-06-19,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-06-23,ausente
Matías González Díaz,10000001-6,1ro Básico,A,2025-06-24,tardanza
Matías González Díaz,10000001-6,1ro Básico,A,2025-06-25,tardanza
Matías González Díaz,10000001-6,1ro Básico,A,2025-06-26,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-06-27,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-06-30,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-07-01,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-07-02,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-07-03,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-07-04,justificado
Matías González Díaz,10000001-6,1ro Básico,A,2025-07-21,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-07-22,ausente
Matías González Díaz,10000001-6,1ro Básico,A,2025-07-23,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-07-24,ausente
Matías González Díaz,10000001-6,1ro Básico,A,2025-07-25,ausente
Matías González Díaz,10000001-6,1ro Básico,A,2025-07-28,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-07-29,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-07-30,tardanza
Matías González Díaz,10000001-6,1ro Básico,A,2025-07-31,ausente
Matías González Díaz,10000001-6,1ro Básico,A,2025-08-01,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-08-04,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-08-05,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-08-06,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-08-07,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-08-08,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-08-11,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-08-12,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-08-13,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-08-14,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-08-18,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-08-19,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-08-20,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-08-21,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-08-22,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-08-25,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-08-26,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-08-27,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-08-28,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-08-29,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-09-01,tardanza
Matías González Díaz,10000001-6,1ro Básico,A,2025-09-02,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-09-03,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-09-04,tardanza
Matías González Díaz,10000001-6,1ro Básico,A,2025-09-05,ausente
Matías González Díaz,10000001-6,1ro Básico,A,2025-09-08,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-09-09,ausente
Matías González Díaz,10000001-6,1ro Básico,A,2025-09-10,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-09-11,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-09-12,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-09-15,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-09-16,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-09-17,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-09-22,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-09-23,justificado
Matías González Díaz,10000001-6,1ro Básico,A,2025-09-24,ausente
Matías González Díaz,10000001-6,1ro Básico,A,2025-09-25,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-09-26,justificado
Matías González Díaz,10000001-6,1ro Básico,A,2025-09-29,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-09-30,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-10-01,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-10-02,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-10-03,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-10-06,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-10-07,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-10-08,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-10-09,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-10-10,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-10-13,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-10-14,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-10-15,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-10-16,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-10-17,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-10-20,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-10-21,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-10-22,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-10-23,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-10-24,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-10-27,tardanza
Matías González Díaz,10000001-6,1ro Básico,A,2025-10-28,justificado
Matías González Díaz,10000001-6,1ro Básico,A,2025-10-29,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-10-30,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-11-03,ausente
Matías González Díaz,10000001-6,1ro Básico,A,2025-11-04,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-11-05,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-11-06,ausente
Matías González Díaz,10000001-6,1ro Básico,A,2025-11-07,ausente
Matías González Díaz,10000001-6,1ro Básico,A,2025-11-10,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-11-11,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-11-12,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-11-13,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-11-14,tardanza
Matías González Díaz,10000001-6,1ro Básico,A,2025-11-17,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-11-18,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-11-19,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-11-20,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-11-21,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-11-24,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-11-25,ausente
Matías González Díaz,10000001-6,1ro Básico,A,2025-11-26,presente
Matías González Díaz,10000001-6,1ro Básico,A,2025-11-27,tardanza
Matías González Díaz,10000001-6,1ro Básico,A,2025-11-28,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-03-03,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-03-04,justificado
Valentina González Contreras,10000002-4,1ro Básico,A,2025-03-05,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-03-06,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-03-07,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-03-10,ausente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-03-11,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-03-12,ausente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-03-13,ausente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-03-14,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-03-17,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-03-18,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-03-19,ausente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-03-20,tardanza
Valentina González Contreras,10000002-4,1ro Básico,A,2025-03-21,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-03-24,ausente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-03-25,tardanza
Valentina González Contreras,10000002-4,1ro Básico,A,2025-03-26,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-03-27,ausente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-03-28,ausente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-04-01,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-04-02,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-04-03,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-04-04,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-04-07,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-04-08,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-04-09,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-04-10,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-04-11,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-04-14,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-04-15,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-04-16,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-04-17,justificado
Valentina González Contreras,10000002-4,1ro Básico,A,2025-04-21,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-04-22,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-04-23,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-04-24,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-04-25,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-04-28,tardanza
Valentina González Contreras,10000002-4,1ro Básico,A,2025-04-29,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-04-30,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-05-02,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-05-05,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-05-06,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-05-07,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-05-08,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-05-09,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-05-12,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-05-13,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-05-14,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-05-15,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-05-16,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-05-19,tardanza
Valentina González Contreras,10000002-4,1ro Básico,A,2025-05-20,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-05-22,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-05-23,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-05-26,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-05-27,justificado
Valentina González Contreras,10000002-4,1ro Básico,A,2025-05-28,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-05-29,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-05-30,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-06-02,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-06-03,presente
Valentina González Contreras,10000002-4,1ro Básico,A,2025-06-04,presente
