nombre,rut,curso,seccion,asignatura,profesor,fecha,tipo,nota,tema
Sofía González Martínez,10000000-8,1ro Básico,A,Historia, Geografía y Ciencias Sociales,Prof. Roberto Muñoz,2025-06-28,prueba,97,Símbolos Patrios
Sofía González Martínez,10000000-8,1ro Básico,A,Matemáticas,Prof. Luis Morales,2025-07-15,tarea,55,Números hasta el 70
Sofía González Martínez,10000000-8,1ro Básico,A,Matemáticas,Prof. Luis Morales,2025-08-05,prueba,73,Números hasta el 100
Sofía González Martínez,10000000-8,1ro Básico,A,Matemáticas,Prof. Luis Morales,2025-08-28,tarea,78,Suma con Reserva
Sofía González Martínez,10000000-8,1ro Básico,A,Matemáticas,Prof. Luis Morales,2025-09-25,prueba,77,Resta sin Reserva
Sofía González Martínez,10000000-8,1ro Básico,A,Matemáticas,Prof. Luis Morales,2025-10-23,tarea,44,Problemas Matemáticos
Sofía González Martínez,10000000-8,1ro Básico,A,Matemáticas,Prof. Luis Morales,2025-11-27,prueba,55,Evaluación Final Matemáticas
Sofía González Martínez,10000000-8,1ro Básico,A,Lenguaje y Comunicación,Prof. Carmen López,2025-07-18,tarea,64,Lectura de Oraciones
Sofía González Martínez,10000000-8,1ro Básico,A,Lenguaje y Comunicación,Prof. Carmen López,2025-08-08,prueba,79,Comprensión de Textos Breves
Sofía González Martínez,10000000-8,1ro Básico,A,Lenguaje y Comunicación,Prof. Carmen López,2025-09-05,tarea,59,La Oración Simple
Sofía González Martínez,10000000-8,1ro Básico,A,Lenguaje y Comunicación,Prof. Carmen López,2025-09-30,prueba,100,Artículos y Sustantivos
Sofía González Martínez,10000000-8,1ro Básico,A,Lenguaje y Comunicación,Prof. Carmen López,2025-10-28,tarea,80,Escritura Creativa
Sofía González Martínez,10000000-8,1ro Básico,A,Lenguaje y Comunicación,Prof. Carmen López,2025-11-28,prueba,50,Evaluación Final Lenguaje
Sofía González Martínez,10000000-8,1ro Básico,A,Ciencias Naturales,Prof. Ana Torres,2025-07-22,tarea,67,Las Plantas y sus Partes
Sofía González Martínez,10000000-8,1ro Básico,A,Ciencias Naturales,Prof. Ana Torres,2025-08-12,prueba,91,Ciclo de Vida de las Plantas
Sofía González Martínez,10000000-8,1ro Básico,A,Ciencias Naturales,Prof. Ana Torres,2025-09-10,tarea,82,El Agua en la Naturaleza
Sofía González Martínez,10000000-8,1ro Básico,A,Ciencias Naturales,Prof. Ana Torres,2025-10-08,prueba,87,Estados del Agua
Sofía González Martínez,10000000-8,1ro Básico,A,Ciencias Naturales,Prof. Ana Torres,2025-11-05,tarea,42,El Sol y la Tierra
Sofía González Martínez,10000000-8,1ro Básico,A,Ciencias Naturales,Prof. Ana Torres,2025-12-03,prueba,63,Evaluación Final Ciencias
Sofía González Martínez,10000000-8,1ro Básico,A,Historia, Geografía y Ciencias Sociales,Prof. Roberto Muñoz,2025-07-25,tarea,56,Mi País Chile
Sofía González Martínez,10000000-8,1ro Básico,A,Historia, Geografía y Ciencias Sociales,Prof. Roberto Muñoz,2025-08-15,prueba,61,Regiones de Chile
Sofía González Martínez,10000000-8,1ro Básico,A,Historia, Geografía y Ciencias Sociales,Prof. Roberto Muñoz,2025-09-12,tarea,76,Fiestas Patrias
Sofía González Martínez,10000000-8,1ro Básico,A,Historia, Geografía y Ciencias Sociales,Prof. Roberto Muñoz,2025-10-10,prueba,69,Pueblos Originarios
Sofía González Martínez,10000000-8,1ro Básico,A,Historia, Geografía y Ciencias Sociales,Prof. Roberto Muñoz,2025-11-14,tarea,97,Derechos y Deberes
Sofía González Martínez,10000000-8,1ro Básico,A,Historia, Geografía y Ciencias Sociales,Prof. Roberto Muñoz,2025-12-05,prueba,98,Evaluación Final Historia
Matías López Silva,10000001-6,1ro Básico,A,Matemáticas,Prof. Luis Morales,2025-03-10,tarea,87,Números del 0 al 10
Matías López Silva,10000001-6,1ro Básico,A,Matemáticas,Prof. Luis Morales,2025-03-20,prueba,42,Números hasta el 20
Matías López Silva,10000001-6,1ro Básico,A,Matemáticas,Prof. Luis Morales,2025-04-10,tarea,67,Suma sin Reserva
Matías López Silva,10000001-6,1ro Básico,A,Matemáticas,Prof. Luis Morales,2025-04-25,prueba,95,Suma y Resta Básica
Matías López Silva,10000001-6,1ro Básico,A,Matemáticas,Prof. Luis Morales,2025-05-15,tarea,41,Figuras Geométricas
Matías López Silva,10000001-6,1ro Básico,A,Matemáticas,Prof. Luis Morales,2025-06-20,prueba,78,Números hasta el 50
Matías López Silva,10000001-6,1ro Básico,A,Lenguaje y Comunicación,Prof. Carmen López,2025-03-12,tarea,82,Las Vocales
Matías López Silva,10000001-6,1ro Básico,A,Lenguaje y Comunicación,Prof. Carmen López,2025-03-25,prueba,57,Comprensión Lectora Inicial
Matías López Silva,10000001-6,1ro Básico,A,Lenguaje y Comunicación,Prof. Carmen López,2025-04-15,tarea,44,Consonantes M, P, L
Matías López Silva,10000001-6,1ro Básico,A,Lenguaje y Comunicación,Prof. Carmen López,2025-05-05,prueba,79,Lectura de Sílabas
Matías López Silva,10000001-6,1ro Básico,A,Lenguaje y Comunicación,Prof. Carmen López,2025-05-28,tarea,92,Escritura de Palabras
Matías López Silva,10000001-6,1ro Básico,A,Lenguaje y Comunicación,Prof. Carmen López,2025-06-25,prueba,76,Lectura de Palabras
Matías López Silva,10000001-6,1ro Básico,A,Ciencias Naturales,Prof. Ana Torres,2025-03-14,tarea,55,Los Seres Vivos
Matías López Silva,10000001-6,1ro Básico,A,Ciencias Naturales,Prof. Ana Torres,2025-03-28,prueba,60,Animales y Plantas
Matías López Silva,10000001-6,1ro Básico,A,Ciencias Naturales,Prof. Ana Torres,2025-04-18,tarea,62,Partes del Cuerpo Humano
Matías López Silva,10000001-6,1ro Básico,A,Ciencias Naturales,Prof. Ana Torres,2025-05-10,prueba,80,Los Sentidos
Matías López Silva,10000001-6,1ro Básico,A,Ciencias Naturales,Prof. Ana Torres,2025-06-05,tarea,97,Hábitos Saludables
Matías López Silva,10000001-6,1ro Básico,A,Ciencias Naturales,Prof. Ana Torres,2025-06-27,prueba,82,Los Animales y sus Características
Matías López Silva,10000001-6,1ro Básico,A,Historia, Geografía y Ciencias Sociales,Prof. Roberto Muñoz,2025-03-17,tarea,70,Mi Familia
Matías López Silva,10000001-6,1ro Básico,A,Historia, Geografía y Ciencias Sociales,Prof. Roberto Muñoz,2025-04-05,prueba,86,La Casa y la Familia
Matías López Silva,10000001-6,1ro Básico,A,Historia, Geografía y Ciencias Sociales,Prof. Roberto Muñoz,2025-04-28,tarea,48,Mi Escuela
Matías López Silva,10000001-6,1ro Básico,A,Historia, Geografía y Ciencias Sociales,Prof. Roberto Muñoz,2025-05-20,prueba,50,La Comunidad
Matías López Silva,10000001-6,1ro Básico,A,Historia, Geografía y Ciencias Sociales,Prof. Roberto Muñoz,2025-06-10,tarea,40,Oficios y Profesiones
Matías López Silva,10000001-6,1ro Básico,A,Historia, Geografía y Ciencias Sociales,Prof. Roberto Muñoz,2025-06-28,prueba,69,Símbolos Patrios
Matías López Silva,10000001-6,1ro Básico,A,Matemáticas,Prof. Luis Morales,2025-07-15,tarea,58,Números hasta el 70
Matías López Silva,10000001-6,1ro Básico,A,Matemáticas,Prof. Luis Morales,2025-08-05,prueba,86,Números hasta el 100
Matías López Silva,10000001-6,1ro Básico,A,Matemáticas,Prof. Luis Morales,2025-08-28,tarea,91,Suma con Reserva
Matías López Silva,10000001-6,1ro Básico,A,Matemáticas,Prof. Luis Morales,2025-09-25,prueba,74,Resta sin Reserva
Matías López Silva,10000001-6,1ro Básico,A,Matemáticas,Prof. Luis Morales,2025-10-23,tarea,68,Problemas Matemáticos
Matías López Silva,10000001-6,1ro Básico,A,Matemáticas,Prof. Luis Morales,2025-11-27,prueba,41,Evaluación Final Matemáticas
Matías López Silva,10000001-6,1ro Básico,A,Lenguaje y Comunicación,Prof. Carmen López,2025-07-18,tarea,67,Lectura de Oraciones
Matías López Silva,10000001-6,1ro Básico,A,Lenguaje y Comunicación,Prof. Carmen López,2025-08-08,prueba,83,Comprensión de Textos Breves
Matías López Silva,10000001-6,1ro Básico,A,Lenguaje y Comunicación,Prof. Carmen López,2025-09-05,tarea,79,La Oración Simple
Matías López Silva,10000001-6,1ro Básico,A,Lenguaje y Comunicación,Prof. Carmen López,2025-09-30,prueba,79,Artículos y Sustantivos
Matías López Silva,10000001-6,1ro Básico,A,Lenguaje y Comunicación,Prof. Carmen López,2025-10-28,tarea,82,Escritura Creativa
Matías López Silva,10000001-6,1ro Básico,A,Lenguaje y Comunicación,Prof. Carmen López,2025-11-28,prueba,98,Evaluación Final Lenguaje
Matías López Silva,10000001-6,1ro Básico,A,Ciencias Naturales,Prof. Ana Torres,2025-07-22,tarea,79,Las Plantas y sus Partes
Matías López Silva,10000001-6,1ro Básico,A,Ciencias Naturales,Prof. Ana Torres,2025-08-12,prueba,77,Ciclo de Vida de las Plantas
Matías López Silva,10000001-6,1ro Básico,A,Ciencias Naturales,Prof. Ana Torres,2025-09-10,tarea,55,El Agua en la Naturaleza
Matías López Silva,10000001-6,1ro Básico,A,Ciencias Naturales,Prof. Ana Torres,2025-10-08,prueba,66,Estados del Agua
Matías López Silva,10000001-6,1ro Básico,A,Ciencias Naturales,Prof. Ana Torres,2025-11-05,tarea,61,El Sol y la Tierra
Matías López Silva,10000001-6,1ro Básico,A,Ciencias Naturales,Prof. Ana Torres,2025-12-03,prueba,81,Evaluación Final Ciencias
Matías López Silva,10000001-6,1ro Básico,A,Historia, Geografía y Ciencias Sociales,Prof. Roberto Muñoz,2025-07-25,tarea,86,Mi País Chile
Matías López Silva,10000001-6,1ro Básico,A,Historia, Geografía y Ciencias Sociales,Prof. Roberto Muñoz,2025-08-15,prueba,55,Regiones de Chile
Matías López Silva,10000001-6,1ro Básico,A,Historia, Geografía y Ciencias Sociales,Prof. Roberto Muñoz,2025-09-12,tarea,90,Fiestas Patrias
Matías López Silva,10000001-6,1ro Básico,A,Historia, Geografía y Ciencias Sociales,Prof. Roberto Muñoz,2025-10-10,prueba,81,Pueblos Originarios
Matías López Silva,10000001-6,1ro Básico,A,Historia, Geografía y Ciencias Sociales,Prof. Roberto Muñoz,2025-11-14,tarea,41,Derechos y Deberes
Matías López Silva,10000001-6,1ro Básico,A,Historia, Geografía y Ciencias Sociales,Prof. Roberto Muñoz,2025-12-05,prueba,53,Evaluación Final Historia
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Matemáticas,Prof. Luis Morales,2025-03-10,tarea,97,Números del 0 al 10
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Matemáticas,Prof. Luis Morales,2025-03-20,prueba,80,Números hasta el 20
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Matemáticas,Prof. Luis Morales,2025-04-10,tarea,82,Suma sin Reserva
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Matemáticas,Prof. Luis Morales,2025-04-25,prueba,86,Suma y Resta Básica
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Matemáticas,Prof. Luis Morales,2025-05-15,tarea,68,Figuras Geométricas
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Matemáticas,Prof. Luis Morales,2025-06-20,prueba,94,Números hasta el 50
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Lenguaje y Comunicación,Prof. Carmen López,2025-03-12,tarea,89,Las Vocales
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Lenguaje y Comunicación,Prof. Carmen López,2025-03-25,prueba,61,Comprensión Lectora Inicial
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Lenguaje y Comunicación,Prof. Carmen López,2025-04-15,tarea,86,Consonantes M, P, L
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Lenguaje y Comunicación,Prof. Carmen López,2025-05-05,prueba,50,Lectura de Sílabas
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Lenguaje y Comunicación,Prof. Carmen López,2025-05-28,tarea,62,Escritura de Palabras
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Lenguaje y Comunicación,Prof. Carmen López,2025-06-25,prueba,77,Lectura de Palabras
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Ciencias Naturales,Prof. Ana Torres,2025-03-14,tarea,67,Los Seres Vivos
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Ciencias Naturales,Prof. Ana Torres,2025-03-28,prueba,64,Animales y Plantas
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Ciencias Naturales,Prof. Ana Torres,2025-04-18,tarea,70,Partes del Cuerpo Humano
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Ciencias Naturales,Prof. Ana Torres,2025-05-10,prueba,95,Los Sentidos
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Ciencias Naturales,Prof. Ana Torres,2025-06-05,tarea,70,Hábitos Saludables
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Ciencias Naturales,Prof. Ana Torres,2025-06-27,prueba,59,Los Animales y sus Características
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Historia, Geografía y Ciencias Sociales,Prof. Roberto Muñoz,2025-03-17,tarea,87,Mi Familia
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Historia, Geografía y Ciencias Sociales,Prof. Roberto Muñoz,2025-04-05,prueba,63,La Casa y la Familia
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Historia, Geografía y Ciencias Sociales,Prof. Roberto Muñoz,2025-04-28,tarea,43,Mi Escuela
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Historia, Geografía y Ciencias Sociales,Prof. Roberto Muñoz,2025-05-20,prueba,50,La Comunidad
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Historia, Geografía y Ciencias Sociales,Prof. Roberto Muñoz,2025-06-10,tarea,42,Oficios y Profesiones
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Historia, Geografía y Ciencias Sociales,Prof. Roberto Muñoz,2025-06-28,prueba,88,Símbolos Patrios
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Matemáticas,Prof. Luis Morales,2025-07-15,tarea,62,Números hasta el 70
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Matemáticas,Prof. Luis Morales,2025-08-05,prueba,83,Números hasta el 100
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Matemáticas,Prof. Luis Morales,2025-08-28,tarea,80,Suma con Reserva
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Matemáticas,Prof. Luis Morales,2025-09-25,prueba,49,Resta sin Reserva
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Matemáticas,Prof. Luis Morales,2025-10-23,tarea,57,Problemas Matemáticos
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Matemáticas,Prof. Luis Morales,2025-11-27,prueba,45,Evaluación Final Matemáticas
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Lenguaje y Comunicación,Prof. Carmen López,2025-07-18,tarea,70,Lectura de Oraciones
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Lenguaje y Comunicación,Prof. Carmen López,2025-08-08,prueba,62,Comprensión de Textos Breves
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Lenguaje y Comunicación,Prof. Carmen López,2025-09-05,tarea,51,La Oración Simple
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Lenguaje y Comunicación,Prof. Carmen López,2025-09-30,prueba,100,Artículos y Sustantivos
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Lenguaje y Comunicación,Prof. Carmen López,2025-10-28,tarea,40,Escritura Creativa
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Lenguaje y Comunicación,Prof. Carmen López,2025-11-28,prueba,73,Evaluación Final Lenguaje
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Ciencias Naturales,Prof. Ana Torres,2025-07-22,tarea,81,Las Plantas y sus Partes
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Ciencias Naturales,Prof. Ana Torres,2025-08-12,prueba,44,Ciclo de Vida de las Plantas
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Ciencias Naturales,Prof. Ana Torres,2025-09-10,tarea,68,El Agua en la Naturaleza
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Ciencias Naturales,Prof. Ana Torres,2025-10-08,prueba,92,Estados del Agua
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Ciencias Naturales,Prof. Ana Torres,2025-11-05,tarea,52,El Sol y la Tierra
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Ciencias Naturales,Prof. Ana Torres,2025-12-03,prueba,64,Evaluación Final Ciencias
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Historia, Geografía y Ciencias Sociales,Prof. Roberto Muñoz,2025-07-25,tarea,80,Mi País Chile
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Historia, Geografía y Ciencias Sociales,Prof. Roberto Muñoz,2025-08-15,prueba,88,Regiones de Chile
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Historia, Geografía y Ciencias Sociales,Prof. Roberto Muñoz,2025-09-12,tarea,86,Fiestas Patrias
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Historia, Geografía y Ciencias Sociales,Prof. Roberto Muñoz,2025-10-10,prueba,62,Pueblos Originarios
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Historia, Geografía y Ciencias Sociales,Prof. Roberto Muñoz,2025-11-14,tarea,40,Derechos y Deberes
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Historia, Geografía y Ciencias Sociales,Prof. Roberto Muñoz,2025-12-05,prueba,80,Evaluación Final Historia
Benjamín Torres Castro,10000003-2,1ro Básico,A,Matemáticas,Prof. Luis Morales,2025-03-10,tarea,91,Números del 0 al 10
Benjamín Torres Castro,10000003-2,1ro Básico,A,Matemáticas,Prof. Luis Morales,2025-03-20,prueba,68,Números hasta el 20
Benjamín Torres Castro,10000003-2,1ro Básico,A,Matemáticas,Prof. Luis Morales,2025-04-10,tarea,95,Suma sin Reserva
Benjamín Torres Castro,10000003-2,1ro Básico,A,Matemáticas,Prof. Luis Morales,2025-04-25,prueba,85,Suma y Resta Básica
Benjamín Torres Castro,10000003-2,1ro Básico,A,Matemáticas,Prof. Luis Morales,2025-05-15,tarea,95,Figuras Geométricas
Benjamín Torres Castro,10000003-2,1ro Básico,A,Matemáticas,Prof. Luis Morales,2025-06-20,prueba,87,Números hasta el 50
Benjamín Torres Castro,10000003-2,1ro Básico,A,Lenguaje y Comunicación,Prof. Carmen López,2025-03-12,tarea,54,Las Vocales
Benjamín Torres Castro,10000003-2,1ro Básico,A,Lenguaje y Comunicación,Prof. Carmen López,2025-03-25,prueba,53,Comprensión Lectora Inicial
Benjamín Torres Castro,10000003-2,1ro Básico,A,Lenguaje y Comunicación,Prof. Carmen López,2025-04-15,tarea,41,Consonantes M, P, L
Benjamín Torres Castro,10000003-2,1ro Básico,A,Lenguaje y Comunicación,Prof. Carmen López,2025-05-05,prueba,62,Lectura de Sílabas
Benjamín Torres Castro,10000003-2,1ro Básico,A,Lenguaje y Comunicación,Prof. Carmen López,2025-05-28,tarea,44,Escritura de Palabras
Benjamín Torres Castro,10000003-2,1ro Básico,A,Lenguaje y Comunicación,Prof. Carmen López,2025-06-25,prueba,78,Lectura de Palabras
Benjamín Torres Castro,10000003-2,1ro Básico,A,Ciencias Naturales,Prof. Ana Torres,2025-03-14,tarea,100,Los Seres Vivos
Benjamín Torres Castro,10000003-2,1ro Básico,A,Ciencias Naturales,Prof. Ana Torres,2025-03-28,prueba,72,Animales y Plantas
Benjamín Torres Castro,10000003-2,1ro Básico,A,Ciencias Naturales,Prof. Ana Torres,2025-04-18,tarea,50,Partes del Cuerpo Humano
Benjamín Torres Castro,10000003-2,1ro Básico,A,Ciencias Naturales,Prof. Ana Torres,2025-05-10,prueba,63,Los Sentidos
Benjamín Torres Castro,10000003-2,1ro Básico,A,Ciencias Naturales,Prof. Ana Torres,2025-06-05,tarea,54,Hábitos Saludables
Benjamín Torres Castro,10000003-2,1ro Básico,A,Ciencias Naturales,Prof. Ana Torres,2025-06-27,prueba,55,Los Animales y sus Características
Benjamín Torres Castro,10000003-2,1ro Básico,A,Historia, Geografía y Ciencias Sociales,Prof. Roberto Muñoz,2025-03-17,tarea,64,Mi Familia
Benjamín Torres Castro,10000003-2,1ro Básico,A,Historia, Geografía y Ciencias Sociales,Prof. Roberto Muñoz,2025-04-05,prueba,75,La Casa y la Familia
Benjamín Torres Castro,10000003-2,1ro Básico,A,Historia, Geografía y Ciencias Sociales,Prof. Roberto Muñoz,2025-04-28,tarea,40,Mi Escuela
Benjamín Torres Castro,10000003-2,1ro Básico,A,Historia, Geografía y Ciencias Sociales,Prof. Roberto Muñoz,2025-05-20,prueba,90,La Comunidad
Benjamín Torres Castro,10000003-2,1ro Básico,A,Historia, Geografía y Ciencias Sociales,Prof. Roberto Muñoz,2025-06-10,tarea,54,Oficios y Profesiones
Benjamín Torres Castro,10000003-2,1ro Básico,A,Historia, Geografía y Ciencias Sociales,Prof. Roberto Muñoz,2025-06-28,prueba,52,Símbolos Patrios
Benjamín Torres Castro,10000003-2,1ro Básico,A,Matemáticas,Prof. Luis Morales,2025-07-15,tarea,44,Números hasta el 70
Benjamín Torres Castro,10000003-2,1ro Básico,A,Matemáticas,Prof. Luis Morales,2025-08-05,prueba,87,Números hasta el 100
Benjamín Torres Castro,10000003-2,1ro Básico,A,Matemáticas,Prof. Luis Morales,2025-08-28,tarea,83,Suma con Reserva
Benjamín Torres Castro,10000003-2,1ro Básico,A,Matemáticas,Prof. Luis Morales,2025-09-25,prueba,62,Resta sin Reserva
Benjamín Torres Castro,10000003-2,1ro Básico,A,Matemáticas,Prof. Luis Morales,2025-10-23,tarea,44,Problemas Matemáticos
Benjamín Torres Castro,10000003-2,1ro Básico,A,Matemáticas,Prof. Luis Morales,2025-11-27,prueba,79,Evaluación Final Matemáticas
Benjamín Torres Castro,10000003-2,1ro Básico,A,Lenguaje y Comunicación,Prof. Carmen López,2025-07-18,tarea,78,Lectura de Oraciones
Benjamín Torres Castro,10000003-2,1ro Básico,A,Lenguaje y Comunicación,Prof. Carmen López,2025-08-08,prueba,99,Comprensión de Textos Breves
Benjamín Torres Castro,10000003-2,1ro Básico,A,Lenguaje y Comunicación,Prof. Carmen López,2025-09-05,tarea,44,La Oración Simple
Benjamín Torres Castro,10000003-2,1ro Básico,A,Lenguaje y Comunicación,Prof. Carmen López,2025-09-30,prueba,76,Artículos y Sustantivos
Benjamín Torres Castro,10000003-2,1ro Básico,A,Lenguaje y Comunicación,Prof. Carmen López,2025-10-28,tarea,99,Escritura Creativa
Benjamín Torres Castro,10000003-2,1ro Básico,A,Lenguaje y Comunicación,Prof. Carmen López,2025-11-28,prueba,65,Evaluación Final Lenguaje
Benjamín Torres Castro,10000003-2,1ro Básico,A,Ciencias Naturales,Prof. Ana Torres,2025-07-22,tarea,51,Las Plantas y sus Partes
Benjamín Torres Castro,10000003-2,1ro Básico,A,Ciencias Naturales,Prof. Ana Torres,2025-08-12,prueba,47,Ciclo de Vida de las Plantas
Benjamín Torres Castro,10000003-2,1ro Básico,A,Ciencias Naturales,Prof. Ana Torres,2025-09-10,tarea,93,El Agua en la Naturaleza
Benjamín Torres Castro,10000003-2,1ro Básico,A,Ciencias Naturales,Prof. Ana Torres,2025-10-08,prueba,66,Estados del Agua
Benjamín Torres Castro,10000003-2,1ro Básico,A,Ciencias Naturales,Prof. Ana Torres,2025-11-05,tarea,82,El Sol y la Tierra
Benjamín Torres Castro,10000003-2,1ro Básico,A,Ciencias Naturales,Prof. Ana Torres,2025-12-03,prueba,76,Evaluación Final Ciencias
Benjamín Torres Castro,10000003-2,1ro Básico,A,Historia, Geografía y Ciencias Sociales,Prof. Roberto Muñoz,2025-07-25,tarea,65,Mi País Chile
Benjamín Torres Castro,10000003-2,1ro Básico,A,Historia, Geografía y Ciencias Sociales,Prof. Roberto Muñoz,2025-08-15,prueba,89,Regiones de Chile
Benjamín Torres Castro,10000003-2,1ro Básico,A,Historia, Geografía y Ciencias Sociales,Prof. Roberto Muñoz,2025-09-12,tarea,61,Fiestas Patrias
Benjamín Torres Castro,10000003-2,1ro Básico,A,Historia, Geografía y Ciencias Sociales,Prof. Roberto Muñoz,2025-10-10,prueba,66,Pueblos Originarios
Benjamín Torres Castro,10000003-2,1ro Básico,A,Historia, Geografía y Ciencias Sociales,Prof. Roberto Muñoz,2025-11-14,tarea,65,Derechos y Deberes
