role,name,rut,email,username,password,course,section,subjects
student,Antonia Medina Parra,10000020-2,antonia.medina10000020@student.cl,a.medina0020,temporal123,1ro Básico,A,
student,Joaquín Santana Mendoza,10000021-0,joaquin.santana10000021@student.cl,j.santana0021,temporal123,1ro Básico,A,
student,Constanza Salazar Olivares,10000022-9,constanza.salazar10000022@student.cl,c.salazar0022,temporal123,1ro Básico,A,
student,Felipe Tapia Vera,10000023-7,felipe.tapia10000023@student.cl,f.tapia0023,temporal123,1ro Básico,A,
student,María José Carrasco Ortiz,10000024-5,maria jose.carrasco10000024@student.cl,m.carrasco0024,temporal123,1ro Básico,A,
student,Sebastián Cáceres Escobar,10000025-3,sebastian.caceres10000025@student.cl,s.caceres0025,temporal123,1ro Básico,A,
student,Fernanda Ibáñez Vidal,10000026-1,fernanda.ibanez10000026@student.cl,f.ibanez0026,temporal123,1ro Básico,A,
student,Vicente Zamora Garrido,10000027-k,vicente.zamora10000027@student.cl,v.zamora0027,temporal123,1ro Básico,A,
student,Javiera Maldonado Farías,10000028-8,javiera.maldonado10000028@student.cl,j.maldonado0028,temporal123,1ro Básico,A,
student,Cristóbal Reyes Peña,10000029-6,cristobal.reyes10000029@student.cl,c.reyes0029,temporal123,1ro Básico,A,
student,Maite Araya Leiva,10000030-k,maite.araya10000030@student.cl,m.araya0030,temporal123,1ro Básico,A,
student,Andrés Jiménez Paredes,10000031-8,andres.jimenez10000031@student.cl,a.jimenez0031,temporal123,1ro Básico,A,
student,Ignacia Pizarro Cabrera,10000032-6,ignacia.pizarro10000032@student.cl,i.pizarro0032,temporal123,1ro Básico,A,
student,Manuel Gallardo Robles,10000033-4,manuel.gallardo10000033@student.cl,m.gallardo0033,temporal123,1ro Básico,A,
student,Renata Valenzuela Lagos,10000034-2,renata.valenzuela10000034@student.cl,r.valenzuela0034,temporal123,1ro Básico,A,
student,Mateo Castillo Moya,10000035-0,mateo.castillo10000035@student.cl,m.castillo0035,temporal123,1ro Básico,A,
student,Francisca Henríquez Vera,10000036-9,francisca.henriquez10000036@student.cl,f.henriquez0036,temporal123,1ro Básico,A,
student,Ángel Mora Pinto,10000037-7,angel.mora10000037@student.cl,a.mora0037,temporal123,1ro Básico,A,
student,Victoria Sánchez Riveros,10000038-5,victoria.sanchez10000038@student.cl,v.sanchez0038,temporal123,1ro Básico,A,
student,Eduardo Montoya Guerra,10000039-3,eduardo.montoya10000039@student.cl,e.montoya0039,temporal123,1ro Básico,A,
student,Carolina Aravena Barrios,10000040-7,carolina.aravena10000040@student.cl,c.aravena0040,temporal123,1ro Básico,A,
student,Alberto Poblete Aguilar,10000041-5,alberto.poblete10000041@student.cl,a.poblete0041,temporal123,1ro Básico,A,
student,Daniela Osorio Carvajal,10000042-3,daniela.osorio10000042@student.cl,d.osorio0042,temporal123,1ro Básico,A,
student,Roberto Pavez Saavedra,10000043-1,roberto.pavez10000043@student.cl,r.pavez0043,temporal123,1ro Básico,A,
student,Gabriela Flores Muñoz,10000044-k,gabriela.flores10000044@student.cl,g.flores0044,temporal123,1ro Básico,A,
student,Sofía González Martínez,10000045-8,sofia.gonzalez10000045@student.cl,s.gonzalez0045,temporal123,1ro Básico,B,
student,Matías López Silva,10000046-6,matias.lopez10000046@student.cl,m.lopez0046,temporal123,1ro Básico,B,
student,Valentina Rojas Pérez,10000047-4,valentina.rojas10000047@student.cl,v.rojas0047,temporal123,1ro Básico,B,
student,Benjamín Torres Castro,10000048-2,benjamin.torres10000048@student.cl,b.torres0048,temporal123,1ro Básico,B,
student,Martina Fernández Díaz,10000049-0,martina.fernandez10000049@student.cl,m.fernandez0049,temporal123,1ro Básico,B,
student,Lucas Muñoz Vargas,10000050-4,lucas.munoz10000050@student.cl,l.munoz0050,temporal123,1ro Básico,B,
student,Isidora Ramírez Soto,10000051-2,isidora.ramirez10000051@student.cl,i.ramirez0051,temporal123,1ro Básico,B,
student,Agustín Contreras Núñez,10000052-0,agustin.contreras10000052@student.cl,a.contreras0052,temporal123,1ro Básico,B,
student,Emilia Sepúlveda Morales,10000053-9,emilia.sepulveda10000053@student.cl,e.sepulveda0053,temporal123,1ro Básico,B,
student,Tomás Gutiérrez Herrera,10000054-7,tomas.gutierrez10000054@student.cl,t.gutierrez0054,temporal123,1ro Básico,B,
student,Amanda Vega Campos,10000055-5,amanda.vega10000055@student.cl,a.vega0055,temporal123,1ro Básico,B,
student,Diego Espinoza Ramos,10000056-3,diego.espinoza10000056@student.cl,d.espinoza0056,temporal123,1ro Básico,B,
student,Catalina Cortés Fuentes,10000057-1,catalina.cortes10000057@student.cl,c.cortes0057,temporal123,1ro Básico,B,
student,Santiago Figueroa Bustos,10000058-k,santiago.figueroa10000058@student.cl,s.figueroa0058,temporal123,1ro Básico,B,
student,Josefa Alarcón Ruiz,10000059-8,josefa.alarcon10000059@student.cl,j.alarcon0059,temporal123,1ro Básico,B,
student,Nicolás Jara Ríos,10000060-1,nicolas.jara10000060@student.cl,n.jara0060,temporal123,1ro Básico,B,
student,Florencia Campos Molina,10000061-k,florencia.campos10000061@student.cl,f.campos0061,temporal123,1ro Básico,B,
student,Gabriel Ponce Álvarez,10000062-8,gabriel.ponce10000062@student.cl,g.ponce0062,temporal123,1ro Básico,B,
student,Trinidad Valdés Sandoval,10000063-6,trinidad.valdes10000063@student.cl,t.valdes0063,temporal123,1ro Básico,B,
student,Maximiliano Bravo Navarro,10000064-4,maximiliano.bravo10000064@student.cl,m.bravo0064,temporal123,1ro Básico,B,
student,Antonia Medina Parra,10000065-2,antonia.medina10000065@student.cl,a.medina0065,temporal123,1ro Básico,B,
student,Joaquín Santana Mendoza,10000066-0,joaquin.santana10000066@student.cl,j.santana0066,temporal123,1ro Básico,B,
student,Constanza Salazar Olivares,10000067-9,constanza.salazar10000067@student.cl,c.salazar0067,temporal123,1ro Básico,B,
student,Felipe Tapia Vera,10000068-7,felipe.tapia10000068@student.cl,f.tapia0068,temporal123,1ro Básico,B,
student,María José Carrasco Ortiz,10000069-5,maria jose.carrasco10000069@student.cl,m.carrasco0069,temporal123,1ro Básico,B,
student,Sebastián Cáceres Escobar,10000070-9,sebastian.caceres10000070@student.cl,s.caceres0070,temporal123,1ro Básico,B,
student,Fernanda Ibáñez Vidal,10000071-7,fernanda.ibanez10000071@student.cl,f.ibanez0071,temporal123,1ro Básico,B,
student,Vicente Zamora Garrido,10000072-5,vicente.zamora10000072@student.cl,v.zamora0072,temporal123,1ro Básico,B,
student,Javiera Maldonado Farías,10000073-3,javiera.maldonado10000073@student.cl,j.maldonado0073,temporal123,1ro Básico,B,
student,Cristóbal Reyes Peña,10000074-1,cristobal.reyes10000074@student.cl,c.reyes0074,temporal123,1ro Básico,B,
student,Maite Araya Leiva,10000075-k,maite.araya10000075@student.cl,m.araya0075,temporal123,1ro Básico,B,
student,Andrés Jiménez Paredes,10000076-8,andres.jimenez10000076@student.cl,a.jimenez0076,temporal123,1ro Básico,B,
student,Ignacia Pizarro Cabrera,10000077-6,ignacia.pizarro10000077@student.cl,i.pizarro0077,temporal123,1ro Básico,B,
student,Manuel Gallardo Robles,10000078-4,manuel.gallardo10000078@student.cl,m.gallardo0078,temporal123,1ro Básico,B,
student,Renata Valenzuela Lagos,10000079-2,renata.valenzuela10000079@student.cl,r.valenzuela0079,temporal123,1ro Básico,B,
student,Mateo Castillo Moya,10000080-6,mateo.castillo10000080@student.cl,m.castillo0080,temporal123,1ro Básico,B,
student,Francisca Henríquez Vera,10000081-4,francisca.henriquez10000081@student.cl,f.henriquez0081,temporal123,1ro Básico,B,
student,Ángel Mora Pinto,10000082-2,angel.mora10000082@student.cl,a.mora0082,temporal123,1ro Básico,B,
student,Victoria Sánchez Riveros,10000083-0,victoria.sanchez10000083@student.cl,v.sanchez0083,temporal123,1ro Básico,B,
student,Eduardo Montoya Guerra,10000084-9,eduardo.montoya10000084@student.cl,e.montoya0084,temporal123,1ro Básico,B,
student,Carolina Aravena Barrios,10000085-7,carolina.aravena10000085@student.cl,c.aravena0085,temporal123,1ro Básico,B,
student,Alberto Poblete Aguilar,10000086-5,alberto.poblete10000086@student.cl,a.poblete0086,temporal123,1ro Básico,B,
student,Daniela Osorio Carvajal,10000087-3,daniela.osorio10000087@student.cl,d.osorio0087,temporal123,1ro Básico,B,
student,Roberto Pavez Saavedra,10000088-1,roberto.pavez10000088@student.cl,r.pavez0088,temporal123,1ro Básico,B,
student,Gabriela Flores Muñoz,10000089-k,gabriela.flores10000089@student.cl,g.flores0089,temporal123,1ro Básico,B,
student,Sofía González Martínez,10000090-3,sofia.gonzalez10000090@student.cl,s.gonzalez0090,temporal123,2do Básico,A,
student,Matías López Silva,10000091-1,matias.lopez10000091@student.cl,m.lopez0091,temporal123,2do Básico,A,
student,Valentina Rojas Pérez,10000092-k,valentina.rojas10000092@student.cl,v.rojas0092,temporal123,2do Básico,A,
student,Benjamín Torres Castro,10000093-8,benjamin.torres10000093@student.cl,b.torres0093,temporal123,2do Básico,A,
student,Martina Fernández Díaz,10000094-6,martina.fernandez10000094@student.cl,m.fernandez0094,temporal123,2do Básico,A,
student,Lucas Muñoz Vargas,10000095-4,lucas.munoz10000095@student.cl,l.munoz0095,temporal123,2do Básico,A,
student,Isidora Ramírez Soto,10000096-2,isidora.ramirez10000096@student.cl,i.ramirez0096,temporal123,2do Básico,A,
student,Agustín Contreras Núñez,10000097-0,agustin.contreras10000097@student.cl,a.contreras0097,temporal123,2do Básico,A,
student,Emilia Sepúlveda Morales,10000098-9,emilia.sepulveda10000098@student.cl,e.sepulveda0098,temporal123,2do Básico,A,
student,Tomás Gutiérrez Herrera,10000099-7,tomas.gutierrez10000099@student.cl,t.gutierrez0099,temporal123,2do Básico,A,
student,Amanda Vega Campos,10000100-4,amanda.vega10000100@student.cl,a.vega0100,temporal123,2do Básico,A,
student,Diego Espinoza Ramos,10000101-2,diego.espinoza10000101@student.cl,d.espinoza0101,temporal123,2do Básico,A,
student,Catalina Cortés Fuentes,10000102-0,catalina.cortes10000102@student.cl,c.cortes0102,temporal123,2do Básico,A,
student,Santiago Figueroa Bustos,10000103-9,santiago.figueroa10000103@student.cl,s.figueroa0103,temporal123,2do Básico,A,
student,Josefa Alarcón Ruiz,10000104-7,josefa.alarcon10000104@student.cl,j.alarcon0104,temporal123,2do Básico,A,
student,Nicolás Jara Ríos,10000105-5,nicolas.jara10000105@student.cl,n.jara0105,temporal123,2do Básico,A,
student,Florencia Campos Molina,10000106-3,florencia.campos10000106@student.cl,f.campos0106,temporal123,2do Básico,A,
student,Gabriel Ponce Álvarez,10000107-1,gabriel.ponce10000107@student.cl,g.ponce0107,temporal123,2do Básico,A,
student,Trinidad Valdés Sandoval,10000108-k,trinidad.valdes10000108@student.cl,t.valdes0108,temporal123,2do Básico,A,
student,Maximiliano Bravo Navarro,10000109-8,maximiliano.bravo10000109@student.cl,m.bravo0109,temporal123,2do Básico,A,
student,Antonia Medina Parra,10000110-1,antonia.medina10000110@student.cl,a.medina0110,temporal123,2do Básico,A,
student,Joaquín Santana Mendoza,10000111-k,joaquin.santana10000111@student.cl,j.santana0111,temporal123,2do Básico,A,
student,Constanza Salazar Olivares,10000112-8,constanza.salazar10000112@student.cl,c.salazar0112,temporal123,2do Básico,A,
student,Felipe Tapia Vera,10000113-6,felipe.tapia10000113@student.cl,f.tapia0113,temporal123,2do Básico,A,
student,María José Carrasco Ortiz,10000114-4,maria jose.carrasco10000114@student.cl,m.carrasco0114,temporal123,2do Básico,A,
student,Sebastián Cáceres Escobar,10000115-2,sebastian.caceres10000115@student.cl,s.caceres0115,temporal123,2do Básico,A,
student,Fernanda Ibáñez Vidal,10000116-0,fernanda.ibanez10000116@student.cl,f.ibanez0116,temporal123,2do Básico,A,
student,Vicente Zamora Garrido,10000117-9,vicente.zamora10000117@student.cl,v.zamora0117,temporal123,2do Básico,A,
student,Javiera Maldonado Farías,10000118-7,javiera.maldonado10000118@student.cl,j.maldonado0118,temporal123,2do Básico,A,
student,Cristóbal Reyes Peña,10000119-5,cristobal.reyes10000119@student.cl,c.reyes0119,temporal123,2do Básico,A,
student,Maite Araya Leiva,10000120-9,maite.araya10000120@student.cl,m.araya0120,temporal123,2do Básico,A,
student,Andrés Jiménez Paredes,10000121-7,andres.jimenez10000121@student.cl,a.jimenez0121,temporal123,2do Básico,A,
student,Ignacia Pizarro Cabrera,10000122-5,ignacia.pizarro10000122@student.cl,i.pizarro0122,temporal123,2do Básico,A,
student,Manuel Gallardo Robles,10000123-3,manuel.gallardo10000123@student.cl,m.gallardo0123,temporal123,2do Básico,A,
student,Renata Valenzuela Lagos,10000124-1,renata.valenzuela10000124@student.cl,r.valenzuela0124,temporal123,2do Básico,A,
student,Mateo Castillo Moya,10000125-k,mateo.castillo10000125@student.cl,m.castillo0125,temporal123,2do Básico,A,
student,Francisca Henríquez Vera,10000126-8,francisca.henriquez10000126@student.cl,f.henriquez0126,temporal123,2do Básico,A,
student,Ángel Mora Pinto,10000127-6,angel.mora10000127@student.cl,a.mora0127,temporal123,2do Básico,A,
student,Victoria Sánchez Riveros,10000128-4,victoria.sanchez10000128@student.cl,v.sanchez0128,temporal123,2do Básico,A,
student,Eduardo Montoya Guerra,10000129-2,eduardo.montoya10000129@student.cl,e.montoya0129,temporal123,2do Básico,A,
student,Carolina Aravena Barrios,10000130-6,carolina.aravena10000130@student.cl,c.aravena0130,temporal123,2do Básico,A,
student,Alberto Poblete Aguilar,10000131-4,alberto.poblete10000131@student.cl,a.poblete0131,temporal123,2do Básico,A,
student,Daniela Osorio Carvajal,10000132-2,daniela.osorio10000132@student.cl,d.osorio0132,temporal123,2do Básico,A,
student,Roberto Pavez Saavedra,10000133-0,roberto.pavez10000133@student.cl,r.pavez0133,temporal123,2do Básico,A,
student,Gabriela Flores Muñoz,10000134-9,gabriela.flores10000134@student.cl,g.flores0134,temporal123,2do Básico,A,
student,Sofía González Martínez,10000135-7,sofia.gonzalez10000135@student.cl,s.gonzalez0135,temporal123,2do Básico,B,
student,Matías López Silva,10000136-5,matias.lopez10000136@student.cl,m.lopez0136,temporal123,2do Básico,B,
student,Valentina Rojas Pérez,10000137-3,valentina.rojas10000137@student.cl,v.rojas0137,temporal123,2do Básico,B,
student,Benjamín Torres Castro,10000138-1,benjamin.torres10000138@student.cl,b.torres0138,temporal123,2do Básico,B,
student,Martina Fernández Díaz,10000139-k,martina.fernandez10000139@student.cl,m.fernandez0139,temporal123,2do Básico,B,
student,Lucas Muñoz Vargas,10000140-3,lucas.munoz10000140@student.cl,l.munoz0140,temporal123,2do Básico,B,
student,Isidora Ramírez Soto,10000141-1,isidora.ramirez10000141@student.cl,i.ramirez0141,temporal123,2do Básico,B,
student,Agustín Contreras Núñez,10000142-k,agustin.contreras10000142@student.cl,a.contreras0142,temporal123,2do Básico,B,
student,Emilia Sepúlveda Morales,10000143-8,emilia.sepulveda10000143@student.cl,e.sepulveda0143,temporal123,2do Básico,B,
student,Tomás Gutiérrez Herrera,10000144-6,tomas.gutierrez10000144@student.cl,t.gutierrez0144,temporal123,2do Básico,B,
student,Amanda Vega Campos,10000145-4,amanda.vega10000145@student.cl,a.vega0145,temporal123,2do Básico,B,
student,Diego Espinoza Ramos,10000146-2,diego.espinoza10000146@student.cl,d.espinoza0146,temporal123,2do Básico,B,
student,Catalina Cortés Fuentes,10000147-0,catalina.cortes10000147@student.cl,c.cortes0147,temporal123,2do Básico,B,
student,Santiago Figueroa Bustos,10000148-9,santiago.figueroa10000148@student.cl,s.figueroa0148,temporal123,2do Básico,B,
student,Josefa Alarcón Ruiz,10000149-7,josefa.alarcon10000149@student.cl,j.alarcon0149,temporal123,2do Básico,B,
student,Nicolás Jara Ríos,10000150-0,nicolas.jara10000150@student.cl,n.jara0150,temporal123,2do Básico,B,
student,Florencia Campos Molina,10000151-9,florencia.campos10000151@student.cl,f.campos0151,temporal123,2do Básico,B,
student,Gabriel Ponce Álvarez,10000152-7,gabriel.ponce10000152@student.cl,g.ponce0152,temporal123,2do Básico,B,
student,Trinidad Valdés Sandoval,10000153-5,trinidad.valdes10000153@student.cl,t.valdes0153,temporal123,2do Básico,B,
student,Maximiliano Bravo Navarro,10000154-3,maximiliano.bravo10000154@student.cl,m.bravo0154,temporal123,2do Básico,B,
student,Antonia Medina Parra,10000155-1,antonia.medina10000155@student.cl,a.medina0155,temporal123,2do Básico,B,
student,Joaquín Santana Mendoza,10000156-k,joaquin.santana10000156@student.cl,j.santana0156,temporal123,2do Básico,B,
student,Constanza Salazar Olivares,10000157-8,constanza.salazar10000157@student.cl,c.salazar0157,temporal123,2do Básico,B,
student,Felipe Tapia Vera,10000158-6,felipe.tapia10000158@student.cl,f.tapia0158,temporal123,2do Básico,B,
student,María José Carrasco Ortiz,10000159-4,maria jose.carrasco10000159@student.cl,m.carrasco0159,temporal123,2do Básico,B,
student,Sebastián Cáceres Escobar,10000160-8,sebastian.caceres10000160@student.cl,s.caceres0160,temporal123,2do Básico,B,
student,Fernanda Ibáñez Vidal,10000161-6,fernanda.ibanez10000161@student.cl,f.ibanez0161,temporal123,2do Básico,B,
student,Vicente Zamora Garrido,10000162-4,vicente.zamora10000162@student.cl,v.zamora0162,temporal123,2do Básico,B,
student,Javiera Maldonado Farías,10000163-2,javiera.maldonado10000163@student.cl,j.maldonado0163,temporal123,2do Básico,B,
student,Cristóbal Reyes Peña,10000164-0,cristobal.reyes10000164@student.cl,c.reyes0164,temporal123,2do Básico,B,
student,Maite Araya Leiva,10000165-9,maite.araya10000165@student.cl,m.araya0165,temporal123,2do Básico,B,
student,Andrés Jiménez Paredes,10000166-7,andres.jimenez10000166@student.cl,a.jimenez0166,temporal123,2do Básico,B,
student,Ignacia Pizarro Cabrera,10000167-5,ignacia.pizarro10000167@student.cl,i.pizarro0167,temporal123,2do Básico,B,
student,Manuel Gallardo Robles,10000168-3,manuel.gallardo10000168@student.cl,m.gallardo0168,temporal123,2do Básico,B,
student,Renata Valenzuela Lagos,10000169-1,renata.valenzuela10000169@student.cl,r.valenzuela0169,temporal123,2do Básico,B,
student,Mateo Castillo Moya,10000170-5,mateo.castillo10000170@student.cl,m.castillo0170,temporal123,2do Básico,B,
student,Francisca Henríquez Vera,10000171-3,francisca.henriquez10000171@student.cl,f.henriquez0171,temporal123,2do Básico,B,
student,Ángel Mora Pinto,10000172-1,angel.mora10000172@student.cl,a.mora0172,temporal123,2do Básico,B,
student,Victoria Sánchez Riveros,10000173-k,victoria.sanchez10000173@student.cl,v.sanchez0173,temporal123,2do Básico,B,
student,Eduardo Montoya Guerra,10000174-8,eduardo.montoya10000174@student.cl,e.montoya0174,temporal123,2do Básico,B,
student,Carolina Aravena Barrios,10000175-6,carolina.aravena10000175@student.cl,c.aravena0175,temporal123,2do Básico,B,
student,Alberto Poblete Aguilar,10000176-4,alberto.poblete10000176@student.cl,a.poblete0176,temporal123,2do Básico,B,
student,Daniela Osorio Carvajal,10000177-2,daniela.osorio10000177@student.cl,d.osorio0177,temporal123,2do Básico,B,
student,Roberto Pavez Saavedra,10000178-0,roberto.pavez10000178@student.cl,r.pavez0178,temporal123,2do Básico,B,
student,Gabriela Flores Muñoz,10000179-9,gabriela.flores10000179@student.cl,g.flores0179,temporal123,2do Básico,B,
