nombre,rut,curso,seccion,asignatura,tipo,fecha,nota,tema
Sofía González González,10000000-8,1ro Básico,A,Lenguaje y Comunicación,tarea,2025-10-18,76,Vocales y consonantes
Sofía González González,10000000-8,1ro Básico,A,Lenguaje y Comunicación,evaluacion,2025-11-20,33,Palabras frecuentes
Sofía González González,10000000-8,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-11-22,93,Textos breves
Sofía González González,10000000-8,1ro Básico,A,Matemáticas,prueba,2025-03-05,64,Números 1-20
Sofía González González,10000000-8,1ro Básico,A,Matemáticas,tarea,2025-03-07,28,Suma y resta básica
Sofía González González,10000000-8,1ro Básico,A,Matemáticas,evaluacion,2025-04-09,88,Figuras geométricas
Sofía González González,10000000-8,1ro Básico,A,Matemáticas,prueba,2025-04-11,45,Secuencias numéricas
Sofía González González,10000000-8,1ro Básico,A,Matemáticas,tarea,2025-05-13,95,Comparación de cantidades
Sofía González González,10000000-8,1ro Básico,A,Matemáticas,evaluacion,2025-05-15,100,Números 1-20
Sofía González González,10000000-8,1ro Básico,A,Matemáticas,prueba,2025-05-17,38,Suma y resta básica
Sofía González González,10000000-8,1ro Básico,A,Matemáticas,tarea,2025-06-19,73,Figuras geométricas
Sofía González González,10000000-8,1ro Básico,A,Matemáticas,evaluacion,2025-06-21,19,Secuencias numéricas
Sofía González González,10000000-8,1ro Básico,A,Matemáticas,prueba,2025-06-23,25,Comparación de cantidades
Sofía González González,10000000-8,1ro Básico,A,Matemáticas,prueba,2025-07-04,13,Números 1-20
Sofía González González,10000000-8,1ro Básico,A,Matemáticas,tarea,2025-07-06,94,Suma y resta básica
Sofía González González,10000000-8,1ro Básico,A,Matemáticas,evaluacion,2025-08-08,47,Figuras geométricas
Sofía González González,10000000-8,1ro Básico,A,Matemáticas,prueba,2025-08-10,89,Secuencias numéricas
Sofía González González,10000000-8,1ro Básico,A,Matemáticas,tarea,2025-09-12,76,Comparación de cantidades
Sofía González González,10000000-8,1ro Básico,A,Matemáticas,evaluacion,2025-09-14,81,Números 1-20
Sofía González González,10000000-8,1ro Básico,A,Matemáticas,prueba,2025-10-16,28,Suma y resta básica
Sofía González González,10000000-8,1ro Básico,A,Matemáticas,tarea,2025-10-18,64,Figuras geométricas
Sofía González González,10000000-8,1ro Básico,A,Matemáticas,evaluacion,2025-11-20,6,Secuencias numéricas
Sofía González González,10000000-8,1ro Básico,A,Matemáticas,prueba,2025-11-22,51,Comparación de cantidades
Sofía González González,10000000-8,1ro Básico,A,Ciencias Naturales,prueba,2025-03-05,13,Seres vivos
Sofía González González,10000000-8,1ro Básico,A,Ciencias Naturales,tarea,2025-03-07,50,Plantas y partes
Sofía González González,10000000-8,1ro Básico,A,Ciencias Naturales,evaluacion,2025-04-09,10,Cinco sentidos
Sofía González González,10000000-8,1ro Básico,A,Ciencias Naturales,prueba,2025-04-11,67,Ciclo del agua
Sofía González González,10000000-8,1ro Básico,A,Ciencias Naturales,tarea,2025-05-13,66,Hábitat de animales
Sofía González González,10000000-8,1ro Básico,A,Ciencias Naturales,evaluacion,2025-05-15,53,Seres vivos
Sofía González González,10000000-8,1ro Básico,A,Ciencias Naturales,prueba,2025-05-17,44,Plantas y partes
Sofía González González,10000000-8,1ro Básico,A,Ciencias Naturales,tarea,2025-06-19,38,Cinco sentidos
Sofía González González,10000000-8,1ro Básico,A,Ciencias Naturales,evaluacion,2025-06-21,49,Ciclo del agua
Sofía González González,10000000-8,1ro Básico,A,Ciencias Naturales,prueba,2025-06-23,71,Hábitat de animales
Sofía González González,10000000-8,1ro Básico,A,Ciencias Naturales,prueba,2025-07-04,61,Seres vivos
Sofía González González,10000000-8,1ro Básico,A,Ciencias Naturales,tarea,2025-07-06,61,Plantas y partes
Sofía González González,10000000-8,1ro Básico,A,Ciencias Naturales,evaluacion,2025-08-08,54,Cinco sentidos
Sofía González González,10000000-8,1ro Básico,A,Ciencias Naturales,prueba,2025-08-10,69,Ciclo del agua
Sofía González González,10000000-8,1ro Básico,A,Ciencias Naturales,tarea,2025-09-12,29,Hábitat de animales
Sofía González González,10000000-8,1ro Básico,A,Ciencias Naturales,evaluacion,2025-09-14,24,Seres vivos
Sofía González González,10000000-8,1ro Básico,A,Ciencias Naturales,prueba,2025-10-16,79,Plantas y partes
Sofía González González,10000000-8,1ro Básico,A,Ciencias Naturales,tarea,2025-10-18,28,Cinco sentidos
Sofía González González,10000000-8,1ro Básico,A,Ciencias Naturales,evaluacion,2025-11-20,40,Ciclo del agua
Sofía González González,10000000-8,1ro Básico,A,Ciencias Naturales,prueba,2025-11-22,24,Hábitat de animales
Sofía González González,10000000-8,1ro Básico,A,Historia y Geografía,prueba,2025-03-05,94,Mi familia
Sofía González González,10000000-8,1ro Básico,A,Historia y Geografía,tarea,2025-03-07,11,Mi comunidad
Sofía González González,10000000-8,1ro Básico,A,Historia y Geografía,evaluacion,2025-04-09,68,Ubicación espacial
Sofía González González,10000000-8,1ro Básico,A,Historia y Geografía,prueba,2025-04-11,72,Tradiciones
Sofía González González,10000000-8,1ro Básico,A,Historia y Geografía,tarea,2025-05-13,12,Símbolos patrios
Sofía González González,10000000-8,1ro Básico,A,Historia y Geografía,evaluacion,2025-05-15,58,Mi familia
Sofía González González,10000000-8,1ro Básico,A,Historia y Geografía,prueba,2025-05-17,54,Mi comunidad
Sofía González González,10000000-8,1ro Básico,A,Historia y Geografía,tarea,2025-06-19,68,Ubicación espacial
Sofía González González,10000000-8,1ro Básico,A,Historia y Geografía,evaluacion,2025-06-21,83,Tradiciones
Sofía González González,10000000-8,1ro Básico,A,Historia y Geografía,prueba,2025-06-23,2,Símbolos patrios
Sofía González González,10000000-8,1ro Básico,A,Historia y Geografía,prueba,2025-07-04,38,Mi familia
Sofía González González,10000000-8,1ro Básico,A,Historia y Geografía,tarea,2025-07-06,61,Mi comunidad
Sofía González González,10000000-8,1ro Básico,A,Historia y Geografía,evaluacion,2025-08-08,91,Ubicación espacial
Sofía González González,10000000-8,1ro Básico,A,Historia y Geografía,prueba,2025-08-10,88,Tradiciones
Sofía González González,10000000-8,1ro Básico,A,Historia y Geografía,tarea,2025-09-12,57,Símbolos patrios
Sofía González González,10000000-8,1ro Básico,A,Historia y Geografía,evaluacion,2025-09-14,100,Mi familia
Sofía González González,10000000-8,1ro Básico,A,Historia y Geografía,prueba,2025-10-16,9,Mi comunidad
Sofía González González,10000000-8,1ro Básico,A,Historia y Geografía,tarea,2025-10-18,45,Ubicación espacial
Sofía González González,10000000-8,1ro Básico,A,Historia y Geografía,evaluacion,2025-11-20,71,Tradiciones
Sofía González González,10000000-8,1ro Básico,A,Historia y Geografía,prueba,2025-11-22,10,Símbolos patrios
Matías González Díaz,10000001-6,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-03-05,11,Comprensión lectora
Matías González Díaz,10000001-6,1ro Básico,A,Lenguaje y Comunicación,tarea,2025-03-07,79,Escritura básica
Matías González Díaz,10000001-6,1ro Básico,A,Lenguaje y Comunicación,evaluacion,2025-04-09,59,Vocales y consonantes
Matías González Díaz,10000001-6,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-04-11,44,Palabras frecuentes
Matías González Díaz,10000001-6,1ro Básico,A,Lenguaje y Comunicación,tarea,2025-05-13,83,Textos breves
Matías González Díaz,10000001-6,1ro Básico,A,Lenguaje y Comunicación,evaluacion,2025-05-15,95,Comprensión lectora
Matías González Díaz,10000001-6,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-05-17,29,Escritura básica
Matías González Díaz,10000001-6,1ro Básico,A,Lenguaje y Comunicación,tarea,2025-06-19,47,Vocales y consonantes
Matías González Díaz,10000001-6,1ro Básico,A,Lenguaje y Comunicación,evaluacion,2025-06-21,46,Palabras frecuentes
Matías González Díaz,10000001-6,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-06-23,78,Textos breves
Matías González Díaz,10000001-6,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-07-04,70,Comprensión lectora
Matías González Díaz,10000001-6,1ro Básico,A,Lenguaje y Comunicación,tarea,2025-07-06,55,Escritura básica
Matías González Díaz,10000001-6,1ro Básico,A,Lenguaje y Comunicación,evaluacion,2025-08-08,80,Vocales y consonantes
Matías González Díaz,10000001-6,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-08-10,63,Palabras frecuentes
Matías González Díaz,10000001-6,1ro Básico,A,Lenguaje y Comunicación,tarea,2025-09-12,17,Textos breves
Matías González Díaz,10000001-6,1ro Básico,A,Lenguaje y Comunicación,evaluacion,2025-09-14,74,Comprensión lectora
Matías González Díaz,10000001-6,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-10-16,100,Escritura básica
Matías González Díaz,10000001-6,1ro Básico,A,Lenguaje y Comunicación,tarea,2025-10-18,55,Vocales y consonantes
Matías González Díaz,10000001-6,1ro Básico,A,Lenguaje y Comunicación,evaluacion,2025-11-20,19,Palabras frecuentes
Matías González Díaz,10000001-6,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-11-22,71,Textos breves
Matías González Díaz,10000001-6,1ro Básico,A,Matemáticas,prueba,2025-03-05,33,Números 1-20
Matías González Díaz,10000001-6,1ro Básico,A,Matemáticas,tarea,2025-03-07,82,Suma y resta básica
Matías González Díaz,10000001-6,1ro Básico,A,Matemáticas,evaluacion,2025-04-09,71,Figuras geométricas
Matías González Díaz,10000001-6,1ro Básico,A,Matemáticas,prueba,2025-04-11,76,Secuencias numéricas
Matías González Díaz,10000001-6,1ro Básico,A,Matemáticas,tarea,2025-05-13,76,Comparación de cantidades
Matías González Díaz,10000001-6,1ro Básico,A,Matemáticas,evaluacion,2025-05-15,32,Números 1-20
Matías González Díaz,10000001-6,1ro Básico,A,Matemáticas,prueba,2025-05-17,67,Suma y resta básica
Matías González Díaz,10000001-6,1ro Básico,A,Matemáticas,tarea,2025-06-19,99,Figuras geométricas
Matías González Díaz,10000001-6,1ro Básico,A,Matemáticas,evaluacion,2025-06-21,50,Secuencias numéricas
Matías González Díaz,10000001-6,1ro Básico,A,Matemáticas,prueba,2025-06-23,21,Comparación de cantidades
Matías González Díaz,10000001-6,1ro Básico,A,Matemáticas,prueba,2025-07-04,27,Números 1-20
Matías González Díaz,10000001-6,1ro Básico,A,Matemáticas,tarea,2025-07-06,44,Suma y resta básica
Matías González Díaz,10000001-6,1ro Básico,A,Matemáticas,evaluacion,2025-08-08,49,Figuras geométricas
Matías González Díaz,10000001-6,1ro Básico,A,Matemáticas,prueba,2025-08-10,81,Secuencias numéricas
Matías González Díaz,10000001-6,1ro Básico,A,Matemáticas,tarea,2025-09-12,59,Comparación de cantidades
Matías González Díaz,10000001-6,1ro Básico,A,Matemáticas,evaluacion,2025-09-14,3,Números 1-20
Matías González Díaz,10000001-6,1ro Básico,A,Matemáticas,prueba,2025-10-16,2,Suma y resta básica
Matías González Díaz,10000001-6,1ro Básico,A,Matemáticas,tarea,2025-10-18,29,Figuras geométricas
Matías González Díaz,10000001-6,1ro Básico,A,Matemáticas,evaluacion,2025-11-20,18,Secuencias numéricas
Matías González Díaz,10000001-6,1ro Básico,A,Matemáticas,prueba,2025-11-22,5,Comparación de cantidades
Matías González Díaz,10000001-6,1ro Básico,A,Ciencias Naturales,prueba,2025-03-05,46,Seres vivos
Matías González Díaz,10000001-6,1ro Básico,A,Ciencias Naturales,tarea,2025-03-07,23,Plantas y partes
Matías González Díaz,10000001-6,1ro Básico,A,Ciencias Naturales,evaluacion,2025-04-09,52,Cinco sentidos
Matías González Díaz,10000001-6,1ro Básico,A,Ciencias Naturales,prueba,2025-04-11,48,Ciclo del agua
Matías González Díaz,10000001-6,1ro Básico,A,Ciencias Naturales,tarea,2025-05-13,19,Hábitat de animales
Matías González Díaz,10000001-6,1ro Básico,A,Ciencias Naturales,evaluacion,2025-05-15,40,Seres vivos
Matías González Díaz,10000001-6,1ro Básico,A,Ciencias Naturales,prueba,2025-05-17,85,Plantas y partes
Matías González Díaz,10000001-6,1ro Básico,A,Ciencias Naturales,tarea,2025-06-19,69,Cinco sentidos
Matías González Díaz,10000001-6,1ro Básico,A,Ciencias Naturales,evaluacion,2025-06-21,4,Ciclo del agua
Matías González Díaz,10000001-6,1ro Básico,A,Ciencias Naturales,prueba,2025-06-23,48,Hábitat de animales
Matías González Díaz,10000001-6,1ro Básico,A,Ciencias Naturales,prueba,2025-07-04,40,Seres vivos
Matías González Díaz,10000001-6,1ro Básico,A,Ciencias Naturales,tarea,2025-07-06,50,Plantas y partes
Matías González Díaz,10000001-6,1ro Básico,A,Ciencias Naturales,evaluacion,2025-08-08,35,Cinco sentidos
Matías González Díaz,10000001-6,1ro Básico,A,Ciencias Naturales,prueba,2025-08-10,76,Ciclo del agua
Matías González Díaz,10000001-6,1ro Básico,A,Ciencias Naturales,tarea,2025-09-12,4,Hábitat de animales
Matías González Díaz,10000001-6,1ro Básico,A,Ciencias Naturales,evaluacion,2025-09-14,36,Seres vivos
Matías González Díaz,10000001-6,1ro Básico,A,Ciencias Naturales,prueba,2025-10-16,15,Plantas y partes
Matías González Díaz,10000001-6,1ro Básico,A,Ciencias Naturales,tarea,2025-10-18,27,Cinco sentidos
Matías González Díaz,10000001-6,1ro Básico,A,Ciencias Naturales,evaluacion,2025-11-20,51,Ciclo del agua
Matías González Díaz,10000001-6,1ro Básico,A,Ciencias Naturales,prueba,2025-11-22,3,Hábitat de animales
Matías González Díaz,10000001-6,1ro Básico,A,Historia y Geografía,prueba,2025-03-05,85,Mi familia
Matías González Díaz,10000001-6,1ro Básico,A,Historia y Geografía,tarea,2025-03-07,70,Mi comunidad
Matías González Díaz,10000001-6,1ro Básico,A,Historia y Geografía,evaluacion,2025-04-09,3,Ubicación espacial
Matías González Díaz,10000001-6,1ro Básico,A,Historia y Geografía,prueba,2025-04-11,38,Tradiciones
Matías González Díaz,10000001-6,1ro Básico,A,Historia y Geografía,tarea,2025-05-13,59,Símbolos patrios
Matías González Díaz,10000001-6,1ro Básico,A,Historia y Geografía,evaluacion,2025-05-15,26,Mi familia
Matías González Díaz,10000001-6,1ro Básico,A,Historia y Geografía,prueba,2025-05-17,71,Mi comunidad
Matías González Díaz,10000001-6,1ro Básico,A,Historia y Geografía,tarea,2025-06-19,94,Ubicación espacial
Matías González Díaz,10000001-6,1ro Básico,A,Historia y Geografía,evaluacion,2025-06-21,88,Tradiciones
Matías González Díaz,10000001-6,1ro Básico,A,Historia y Geografía,prueba,2025-06-23,46,Símbolos patrios
Matías González Díaz,10000001-6,1ro Básico,A,Historia y Geografía,prueba,2025-07-04,46,Mi familia
Matías González Díaz,10000001-6,1ro Básico,A,Historia y Geografía,tarea,2025-07-06,8,Mi comunidad
Matías González Díaz,10000001-6,1ro Básico,A,Historia y Geografía,evaluacion,2025-08-08,27,Ubicación espacial
Matías González Díaz,10000001-6,1ro Básico,A,Historia y Geografía,prueba,2025-08-10,19,Tradiciones
Matías González Díaz,10000001-6,1ro Básico,A,Historia y Geografía,tarea,2025-09-12,82,Símbolos patrios
Matías González Díaz,10000001-6,1ro Básico,A,Historia y Geografía,evaluacion,2025-09-14,92,Mi familia
Matías González Díaz,10000001-6,1ro Básico,A,Historia y Geografía,prueba,2025-10-16,40,Mi comunidad
Matías González Díaz,10000001-6,1ro Básico,A,Historia y Geografía,tarea,2025-10-18,75,Ubicación espacial
Matías González Díaz,10000001-6,1ro Básico,A,Historia y Geografía,evaluacion,2025-11-20,22,Tradiciones
Matías González Díaz,10000001-6,1ro Básico,A,Historia y Geografía,prueba,2025-11-22,42,Símbolos patrios
Valentina González Contreras,10000002-4,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-03-05,78,Comprensión lectora
Valentina González Contreras,10000002-4,1ro Básico,A,Lenguaje y Comunicación,tarea,2025-03-07,21,Escritura básica
Valentina González Contreras,10000002-4,1ro Básico,A,Lenguaje y Comunicación,evaluacion,2025-04-09,99,Vocales y consonantes
Valentina González Contreras,10000002-4,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-04-11,30,Palabras frecuentes
Valentina González Contreras,10000002-4,1ro Básico,A,Lenguaje y Comunicación,tarea,2025-05-13,21,Textos breves
Valentina González Contreras,10000002-4,1ro Básico,A,Lenguaje y Comunicación,evaluacion,2025-05-15,55,Comprensión lectora
Valentina González Contreras,10000002-4,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-05-17,63,Escritura básica
Valentina González Contreras,10000002-4,1ro Básico,A,Lenguaje y Comunicación,tarea,2025-06-19,6,Vocales y consonantes
Valentina González Contreras,10000002-4,1ro Básico,A,Lenguaje y Comunicación,evaluacion,2025-06-21,97,Palabras frecuentes
Valentina González Contreras,10000002-4,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-06-23,19,Textos breves
Valentina González Contreras,10000002-4,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-07-04,35,Comprensión lectora
Valentina González Contreras,10000002-4,1ro Básico,A,Lenguaje y Comunicación,tarea,2025-07-06,44,Escritura básica
Valentina González Contreras,10000002-4,1ro Básico,A,Lenguaje y Comunicación,evaluacion,2025-08-08,17,Vocales y consonantes
Valentina González Contreras,10000002-4,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-08-10,64,Palabras frecuentes
Valentina González Contreras,10000002-4,1ro Básico,A,Lenguaje y Comunicación,tarea,2025-09-12,99,Textos breves
Valentina González Contreras,10000002-4,1ro Básico,A,Lenguaje y Comunicación,evaluacion,2025-09-14,16,Comprensión lectora
Valentina González Contreras,10000002-4,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-10-16,45,Escritura básica
Valentina González Contreras,10000002-4,1ro Básico,A,Lenguaje y Comunicación,tarea,2025-10-18,85,Vocales y consonantes
Valentina González Contreras,10000002-4,1ro Básico,A,Lenguaje y Comunicación,evaluacion,2025-11-20,97,Palabras frecuentes
Valentina González Contreras,10000002-4,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-11-22,83,Textos breves
Valentina González Contreras,10000002-4,1ro Básico,A,Matemáticas,prueba,2025-03-05,45,Números 1-20
Valentina González Contreras,10000002-4,1ro Básico,A,Matemáticas,tarea,2025-03-07,23,Suma y resta básica
Valentina González Contreras,10000002-4,1ro Básico,A,Matemáticas,evaluacion,2025-04-09,64,Figuras geométricas
Valentina González Contreras,10000002-4,1ro Básico,A,Matemáticas,prueba,2025-04-11,7,Secuencias numéricas
Valentina González Contreras,10000002-4,1ro Básico,A,Matemáticas,tarea,2025-05-13,10,Comparación de cantidades
Valentina González Contreras,10000002-4,1ro Básico,A,Matemáticas,evaluacion,2025-05-15,16,Números 1-20
Valentina González Contreras,10000002-4,1ro Básico,A,Matemáticas,prueba,2025-05-17,11,Suma y resta básica
Valentina González Contreras,10000002-4,1ro Básico,A,Matemáticas,tarea,2025-06-19,84,Figuras geométricas
Valentina González Contreras,10000002-4,1ro Básico,A,Matemáticas,evaluacion,2025-06-21,97,Secuencias numéricas
Valentina González Contreras,10000002-4,1ro Básico,A,Matemáticas,prueba,2025-06-23,90,Comparación de cantidades
Valentina González Contreras,10000002-4,1ro Básico,A,Matemáticas,prueba,2025-07-04,7,Números 1-20
Valentina González Contreras,10000002-4,1ro Básico,A,Matemáticas,tarea,2025-07-06,78,Suma y resta básica
Valentina González Contreras,10000002-4,1ro Básico,A,Matemáticas,evaluacion,2025-08-08,80,Figuras geométricas
Valentina González Contreras,10000002-4,1ro Básico,A,Matemáticas,prueba,2025-08-10,87,Secuencias numéricas
Valentina González Contreras,10000002-4,1ro Básico,A,Matemáticas,tarea,2025-09-12,41,Comparación de cantidades
Valentina González Contreras,10000002-4,1ro Básico,A,Matemáticas,evaluacion,2025-09-14,5,Números 1-20
Valentina González Contreras,10000002-4,1ro Básico,A,Matemáticas,prueba,2025-10-16,52,Suma y resta básica
Valentina González Contreras,10000002-4,1ro Básico,A,Matemáticas,tarea,2025-10-18,21,Figuras geométricas
Valentina González Contreras,10000002-4,1ro Básico,A,Matemáticas,evaluacion,2025-11-20,8,Secuencias numéricas
Valentina González Contreras,10000002-4,1ro Básico,A,Matemáticas,prueba,2025-11-22,6,Comparación de cantidades
Valentina González Contreras,10000002-4,1ro Básico,A,Ciencias Naturales,prueba,2025-03-05,45,Seres vivos
Valentina González Contreras,10000002-4,1ro Básico,A,Ciencias Naturales,tarea,2025-03-07,100,Plantas y partes
Valentina González Contreras,10000002-4,1ro Básico,A,Ciencias Naturales,evaluacion,2025-04-09,52,Cinco sentidos
Valentina González Contreras,10000002-4,1ro Básico,A,Ciencias Naturales,prueba,2025-04-11,98,Ciclo del agua
Valentina González Contreras,10000002-4,1ro Básico,A,Ciencias Naturales,tarea,2025-05-13,23,Hábitat de animales
Valentina González Contreras,10000002-4,1ro Básico,A,Ciencias Naturales,evaluacion,2025-05-15,31,Seres vivos
Valentina González Contreras,10000002-4,1ro Básico,A,Ciencias Naturales,prueba,2025-05-17,5,Plantas y partes
Valentina González Contreras,10000002-4,1ro Básico,A,Ciencias Naturales,tarea,2025-06-19,53,Cinco sentidos
Valentina González Contreras,10000002-4,1ro Básico,A,Ciencias Naturales,evaluacion,2025-06-21,85,Ciclo del agua
Valentina González Contreras,10000002-4,1ro Básico,A,Ciencias Naturales,prueba,2025-06-23,93,Hábitat de animales
Valentina González Contreras,10000002-4,1ro Básico,A,Ciencias Naturales,prueba,2025-07-04,21,Seres vivos
Valentina González Contreras,10000002-4,1ro Básico,A,Ciencias Naturales,tarea,2025-07-06,3,Plantas y partes
Valentina González Contreras,10000002-4,1ro Básico,A,Ciencias Naturales,evaluacion,2025-08-08,89,Cinco sentidos
Valentina González Contreras,10000002-4,1ro Básico,A,Ciencias Naturales,prueba,2025-08-10,43,Ciclo del agua
Valentina González Contreras,10000002-4,1ro Básico,A,Ciencias Naturales,tarea,2025-09-12,57,Hábitat de animales
Valentina González Contreras,10000002-4,1ro Básico,A,Ciencias Naturales,evaluacion,2025-09-14,52,Seres vivos
Valentina González Contreras,10000002-4,1ro Básico,A,Ciencias Naturales,prueba,2025-10-16,30,Plantas y partes
Valentina González Contreras,10000002-4,1ro Básico,A,Ciencias Naturales,tarea,2025-10-18,61,Cinco sentidos
Valentina González Contreras,10000002-4,1ro Básico,A,Ciencias Naturales,evaluacion,2025-11-20,42,Ciclo del agua
Valentina González Contreras,10000002-4,1ro Básico,A,Ciencias Naturales,prueba,2025-11-22,81,Hábitat de animales
Valentina González Contreras,10000002-4,1ro Básico,A,Historia y Geografía,prueba,2025-03-05,68,Mi familia
Valentina González Contreras,10000002-4,1ro Básico,A,Historia y Geografía,tarea,2025-03-07,6,Mi comunidad
Valentina González Contreras,10000002-4,1ro Básico,A,Historia y Geografía,evaluacion,2025-04-09,98,Ubicación espacial
Valentina González Contreras,10000002-4,1ro Básico,A,Historia y Geografía,prueba,2025-04-11,59,Tradiciones
Valentina González Contreras,10000002-4,1ro Básico,A,Historia y Geografía,tarea,2025-05-13,54,Símbolos patrios
Valentina González Contreras,10000002-4,1ro Básico,A,Historia y Geografía,evaluacion,2025-05-15,61,Mi familia
Valentina González Contreras,10000002-4,1ro Básico,A,Historia y Geografía,prueba,2025-05-17,91,Mi comunidad
Valentina González Contreras,10000002-4,1ro Básico,A,Historia y Geografía,tarea,2025-06-19,19,Ubicación espacial
Valentina González Contreras,10000002-4,1ro Básico,A,Historia y Geografía,evaluacion,2025-06-21,47,Tradiciones
Valentina González Contreras,10000002-4,1ro Básico,A,Historia y Geografía,prueba,2025-06-23,60,Símbolos patrios
Valentina González Contreras,10000002-4,1ro Básico,A,Historia y Geografía,prueba,2025-07-04,44,Mi familia
Valentina González Contreras,10000002-4,1ro Básico,A,Historia y Geografía,tarea,2025-07-06,86,Mi comunidad
Valentina González Contreras,10000002-4,1ro Básico,A,Historia y Geografía,evaluacion,2025-08-08,96,Ubicación espacial
Valentina González Contreras,10000002-4,1ro Básico,A,Historia y Geografía,prueba,2025-08-10,73,Tradiciones
Valentina González Contreras,10000002-4,1ro Básico,A,Historia y Geografía,tarea,2025-09-12,57,Símbolos patrios
Valentina González Contreras,10000002-4,1ro Básico,A,Historia y Geografía,evaluacion,2025-09-14,24,Mi familia
Valentina González Contreras,10000002-4,1ro Básico,A,Historia y Geografía,prueba,2025-10-16,60,Mi comunidad
Valentina González Contreras,10000002-4,1ro Básico,A,Historia y Geografía,tarea,2025-10-18,13,Ubicación espacial
Valentina González Contreras,10000002-4,1ro Básico,A,Historia y Geografía,evaluacion,2025-11-20,54,Tradiciones
Valentina González Contreras,10000002-4,1ro Básico,A,Historia y Geografía,prueba,2025-11-22,63,Símbolos patrios
Benjamín González Sepúlveda,10000003-2,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-03-05,18,Comprensión lectora
Benjamín González Sepúlveda,10000003-2,1ro Básico,A,Lenguaje y Comunicación,tarea,2025-03-07,42,Escritura básica
Benjamín González Sepúlveda,10000003-2,1ro Básico,A,Lenguaje y Comunicación,evaluacion,2025-04-09,37,Vocales y consonantes
Benjamín González Sepúlveda,10000003-2,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-04-11,25,Palabras frecuentes
Benjamín González Sepúlveda,10000003-2,1ro Básico,A,Lenguaje y Comunicación,tarea,2025-05-13,57,Textos breves
Benjamín González Sepúlveda,10000003-2,1ro Básico,A,Lenguaje y Comunicación,evaluacion,2025-05-15,60,Comprensión lectora
Benjamín González Sepúlveda,10000003-2,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-05-17,88,Escritura básica
Benjamín González Sepúlveda,10000003-2,1ro Básico,A,Lenguaje y Comunicación,tarea,2025-06-19,86,Vocales y consonantes
Benjamín González Sepúlveda,10000003-2,1ro Básico,A,Lenguaje y Comunicación,evaluacion,2025-06-21,9,Palabras frecuentes
