nombre,rut,username,curso,seccion,fecha,estado
Florencia González Díaz,10000016-4,f.gonzalez0164,1ro Básico,A,2025-03-07,present
Gabriel González Contreras,10000017-2,g.gonzalez0172,1ro Básico,A,2025-03-07,present
Trinidad González Sepúlveda,10000018-0,t.gonzalez0180,1ro Básico,A,2025-03-07,present
Maximiliano González López,10000019-9,m.gonzalez0199,1ro Básico,A,2025-03-07,present
Antonia González Torres,10000020-2,a.gonzalez0202,1ro Básico,A,2025-03-07,present
Joaquín González Espinoza,10000021-0,j.gonzalez0210,1ro Básico,A,2025-03-07,present
Constanza González Vega,10000022-9,c.gonzalez0229,1ro Básico,A,2025-03-07,present
Felipe González Gutiérrez,10000023-7,f.gonzalez0237,1ro Básico,A,2025-03-07,present
María José González Ramírez,10000024-5,m.gonzalez0245,1ro Básico,A,2025-03-07,present
Sebastián González Cortés,10000025-3,s.gonzalez0253,1ro Básico,A,2025-03-07,present
Fernanda González Figueroa,10000026-1,f.gonzalez0261,1ro Básico,A,2025-03-07,present
Vicente González Jara,10000027-k,v.gonzalez0027,1ro Básico,A,2025-03-07,present
Javiera González Campos,10000028-8,j.gonzalez0288,1ro Básico,A,2025-03-07,absent
Cristóbal González Alarcón,10000029-6,c.gonzalez0296,1ro Básico,A,2025-03-07,present
Maite González González,10000030-k,m.gonzalez0030,1ro Básico,A,2025-03-07,present
Andrés González Díaz,10000031-8,a.gonzalez0318,1ro Básico,A,2025-03-07,present
Ignacia González Contreras,10000032-6,i.gonzalez0326,1ro Básico,A,2025-03-07,present
Manuel González Sepúlveda,10000033-4,m.gonzalez0334,1ro Básico,A,2025-03-07,present
Renata González López,10000034-2,r.gonzalez0342,1ro Básico,A,2025-03-07,present
Mateo González Torres,10000035-0,m.gonzalez0350,1ro Básico,A,2025-03-07,present
Francisca González Espinoza,10000036-9,f.gonzalez0369,1ro Básico,A,2025-03-07,present
Ángel González Vega,10000037-7,á.gonzalez0377,1ro Básico,A,2025-03-07,present
Victoria González Gutiérrez,10000038-5,v.gonzalez0385,1ro Básico,A,2025-03-07,present
Eduardo González Ramírez,10000039-3,e.gonzalez0393,1ro Básico,A,2025-03-07,present
Carolina González Cortés,10000040-7,c.gonzalez0407,1ro Básico,A,2025-03-07,late
Alberto González Figueroa,10000041-5,a.gonzalez0415,1ro Básico,A,2025-03-07,present
Daniela González Jara,10000042-3,d.gonzalez0423,1ro Básico,A,2025-03-07,present
Roberto González Campos,10000043-1,r.gonzalez0431,1ro Básico,A,2025-03-07,present
Gabriela González Alarcón,10000044-k,g.gonzalez0044,1ro Básico,A,2025-03-07,present
Sofía González González,10000000-8,sofia,1ro Básico,A,2025-03-10,present
Matías González Díaz,10000001-6,m.gonzalez0016,1ro Básico,A,2025-03-10,present
Valentina González Contreras,10000002-4,v.gonzalez0024,1ro Básico,A,2025-03-10,present
Benjamín González Sepúlveda,10000003-2,b.gonzalez0032,1ro Básico,A,2025-03-10,present
Martina González López,10000004-0,m.gonzalez0040,1ro Básico,A,2025-03-10,present
Lucas González Torres,10000005-9,l.gonzalez0059,1ro Básico,A,2025-03-10,present
Isidora González Espinoza,10000006-7,i.gonzalez0067,1ro Básico,A,2025-03-10,present
Agustín González Vega,10000007-5,a.gonzalez0075,1ro Básico,A,2025-03-10,present
Emilia González Gutiérrez,10000008-3,e.gonzalez0083,1ro Básico,A,2025-03-10,present
Tomás González Ramírez,10000009-1,t.gonzalez0091,1ro Básico,A,2025-03-10,present
Amanda González Cortés,10000010-5,a.gonzalez0105,1ro Básico,A,2025-03-10,present
Diego González Figueroa,10000011-3,d.gonzalez0113,1ro Básico,A,2025-03-10,present
Catalina González Jara,10000012-1,c.gonzalez0121,1ro Básico,A,2025-03-10,present
Santiago González Campos,10000013-k,s.gonzalez0013,1ro Básico,A,2025-03-10,present
Josefa González Alarcón,10000014-8,j.gonzalez0148,1ro Básico,A,2025-03-10,present
Nicolás González González,10000015-6,n.gonzalez0156,1ro Básico,A,2025-03-10,present
Florencia González Díaz,10000016-4,f.gonzalez0164,1ro Básico,A,2025-03-10,present
Gabriel González Contreras,10000017-2,g.gonzalez0172,1ro Básico,A,2025-03-10,present
Trinidad González Sepúlveda,10000018-0,t.gonzalez0180,1ro Básico,A,2025-03-10,present
Maximiliano González López,10000019-9,m.gonzalez0199,1ro Básico,A,2025-03-10,present
Antonia González Torres,10000020-2,a.gonzalez0202,1ro Básico,A,2025-03-10,present
Joaquín González Espinoza,10000021-0,j.gonzalez0210,1ro Básico,A,2025-03-10,present
Constanza González Vega,10000022-9,c.gonzalez0229,1ro Básico,A,2025-03-10,present
Felipe González Gutiérrez,10000023-7,f.gonzalez0237,1ro Básico,A,2025-03-10,present
María José González Ramírez,10000024-5,m.gonzalez0245,1ro Básico,A,2025-03-10,present
Sebastián González Cortés,10000025-3,s.gonzalez0253,1ro Básico,A,2025-03-10,present
Fernanda González Figueroa,10000026-1,f.gonzalez0261,1ro Básico,A,2025-03-10,present
Vicente González Jara,10000027-k,v.gonzalez0027,1ro Básico,A,2025-03-10,present
Javiera González Campos,10000028-8,j.gonzalez0288,1ro Básico,A,2025-03-10,present
Cristóbal González Alarcón,10000029-6,c.gonzalez0296,1ro Básico,A,2025-03-10,present
Maite González González,10000030-k,m.gonzalez0030,1ro Básico,A,2025-03-10,absent
Andrés González Díaz,10000031-8,a.gonzalez0318,1ro Básico,A,2025-03-10,present
Ignacia González Contreras,10000032-6,i.gonzalez0326,1ro Básico,A,2025-03-10,present
Manuel González Sepúlveda,10000033-4,m.gonzalez0334,1ro Básico,A,2025-03-10,present
Renata González López,10000034-2,r.gonzalez0342,1ro Básico,A,2025-03-10,present
Mateo González Torres,10000035-0,m.gonzalez0350,1ro Básico,A,2025-03-10,present
Francisca González Espinoza,10000036-9,f.gonzalez0369,1ro Básico,A,2025-03-10,present
Ángel González Vega,10000037-7,á.gonzalez0377,1ro Básico,A,2025-03-10,present
Victoria González Gutiérrez,10000038-5,v.gonzalez0385,1ro Básico,A,2025-03-10,present
Eduardo González Ramírez,10000039-3,e.gonzalez0393,1ro Básico,A,2025-03-10,present
Carolina González Cortés,10000040-7,c.gonzalez0407,1ro Básico,A,2025-03-10,present
Alberto González Figueroa,10000041-5,a.gonzalez0415,1ro Básico,A,2025-03-10,present
Daniela González Jara,10000042-3,d.gonzalez0423,1ro Básico,A,2025-03-10,late
Roberto González Campos,10000043-1,r.gonzalez0431,1ro Básico,A,2025-03-10,present
Gabriela González Alarcón,10000044-k,g.gonzalez0044,1ro Básico,A,2025-03-10,present
Sofía González González,10000000-8,sofia,1ro Básico,A,2025-03-11,present
Matías González Díaz,10000001-6,m.gonzalez0016,1ro Básico,A,2025-03-11,present
Valentina González Contreras,10000002-4,v.gonzalez0024,1ro Básico,A,2025-03-11,present
Benjamín González Sepúlveda,10000003-2,b.gonzalez0032,1ro Básico,A,2025-03-11,present
Martina González López,10000004-0,m.gonzalez0040,1ro Básico,A,2025-03-11,present
Lucas González Torres,10000005-9,l.gonzalez0059,1ro Básico,A,2025-03-11,present
Isidora González Espinoza,10000006-7,i.gonzalez0067,1ro Básico,A,2025-03-11,present
Agustín González Vega,10000007-5,a.gonzalez0075,1ro Básico,A,2025-03-11,present
Emilia González Gutiérrez,10000008-3,e.gonzalez0083,1ro Básico,A,2025-03-11,present
Tomás González Ramírez,10000009-1,t.gonzalez0091,1ro Básico,A,2025-03-11,present
Amanda González Cortés,10000010-5,a.gonzalez0105,1ro Básico,A,2025-03-11,present
Diego González Figueroa,10000011-3,d.gonzalez0113,1ro Básico,A,2025-03-11,present
Catalina González Jara,10000012-1,c.gonzalez0121,1ro Básico,A,2025-03-11,present
Santiago González Campos,10000013-k,s.gonzalez0013,1ro Básico,A,2025-03-11,present
Josefa González Alarcón,10000014-8,j.gonzalez0148,1ro Básico,A,2025-03-11,present
Nicolás González González,10000015-6,n.gonzalez0156,1ro Básico,A,2025-03-11,present
Florencia González Díaz,10000016-4,f.gonzalez0164,1ro Básico,A,2025-03-11,present
Gabriel González Contreras,10000017-2,g.gonzalez0172,1ro Básico,A,2025-03-11,present
Trinidad González Sepúlveda,10000018-0,t.gonzalez0180,1ro Básico,A,2025-03-11,present
Maximiliano González López,10000019-9,m.gonzalez0199,1ro Básico,A,2025-03-11,present
Antonia González Torres,10000020-2,a.gonzalez0202,1ro Básico,A,2025-03-11,present
Joaquín González Espinoza,10000021-0,j.gonzalez0210,1ro Básico,A,2025-03-11,present
Constanza González Vega,10000022-9,c.gonzalez0229,1ro Básico,A,2025-03-11,present
Felipe González Gutiérrez,10000023-7,f.gonzalez0237,1ro Básico,A,2025-03-11,present
María José González Ramírez,10000024-5,m.gonzalez0245,1ro Básico,A,2025-03-11,present
Sebastián González Cortés,10000025-3,s.gonzalez0253,1ro Básico,A,2025-03-11,present
Fernanda González Figueroa,10000026-1,f.gonzalez0261,1ro Básico,A,2025-03-11,present
Vicente González Jara,10000027-k,v.gonzalez0027,1ro Básico,A,2025-03-11,present
Javiera González Campos,10000028-8,j.gonzalez0288,1ro Básico,A,2025-03-11,present
Cristóbal González Alarcón,10000029-6,c.gonzalez0296,1ro Básico,A,2025-03-11,present
Maite González González,10000030-k,m.gonzalez0030,1ro Básico,A,2025-03-11,excused
Andrés González Díaz,10000031-8,a.gonzalez0318,1ro Básico,A,2025-03-11,present
Ignacia González Contreras,10000032-6,i.gonzalez0326,1ro Básico,A,2025-03-11,present
Manuel González Sepúlveda,10000033-4,m.gonzalez0334,1ro Básico,A,2025-03-11,present
Renata González López,10000034-2,r.gonzalez0342,1ro Básico,A,2025-03-11,present
Mateo González Torres,10000035-0,m.gonzalez0350,1ro Básico,A,2025-03-11,absent
Francisca González Espinoza,10000036-9,f.gonzalez0369,1ro Básico,A,2025-03-11,present
Ángel González Vega,10000037-7,á.gonzalez0377,1ro Básico,A,2025-03-11,present
Victoria González Gutiérrez,10000038-5,v.gonzalez0385,1ro Básico,A,2025-03-11,present
Eduardo González Ramírez,10000039-3,e.gonzalez0393,1ro Básico,A,2025-03-11,present
Carolina González Cortés,10000040-7,c.gonzalez0407,1ro Básico,A,2025-03-11,present
Alberto González Figueroa,10000041-5,a.gonzalez0415,1ro Básico,A,2025-03-11,present
Daniela González Jara,10000042-3,d.gonzalez0423,1ro Básico,A,2025-03-11,absent
Roberto González Campos,10000043-1,r.gonzalez0431,1ro Básico,A,2025-03-11,present
Gabriela González Alarcón,10000044-k,g.gonzalez0044,1ro Básico,A,2025-03-11,present
Sofía González González,10000000-8,sofia,1ro Básico,A,2025-03-12,present
